# Diode Laser Delay Scan w/ MW and PM
# MW at 19 dB, Phase Modulation at 32.5 dB (~1.4)
# Center at -10 GHz
# Hittite at 18.6 dBm and 18510.1 MHz
i	d	n	nb	s	sb
237.000	87003.000	1.000	0.000	0.048	-0.004
238.000	88075.000	1.000	0.000	0.050	-0.004
239.000	89147.000	1.000	0.000	0.046	-0.004
240.000	90219.000	1.000	0.000	0.042	-0.004
241.000	91291.000	1.000	0.000	0.039	-0.004
242.000	92363.000	1.000	0.000	0.035	-0.004
243.000	93435.000	1.000	0.000	0.047	-0.004
244.000	94506.000	1.000	0.000	0.052	-0.004
245.000	95578.000	1.000	0.000	0.048	-0.004
246.000	96650.000	1.000	0.000	0.039	-0.004
247.000	97722.000	1.000	0.000	0.047	-0.004
248.000	98794.000	1.000	0.000	0.039	-0.004
249.000	99866.000	1.000	0.000	0.027	-0.004
250.000	100938.000	1.000	0.000	0.026	-0.004
251.000	102010.000	1.000	0.000	0.040	-0.004
252.000	103082.000	1.000	0.000	0.047	-0.004
253.000	104154.000	1.000	0.000	0.052	-0.004
254.000	105226.000	1.000	0.000	0.055	-0.004
255.000	106297.000	1.000	0.000	0.048	-0.004
256.000	107369.000	1.000	0.000	0.042	-0.004
257.000	108441.000	1.000	0.000	0.037	-0.004
258.000	109513.000	1.000	0.000	0.031	-0.004
259.000	110585.000	1.000	0.000	0.050	-0.004
260.000	111657.000	1.000	0.000	0.054	-0.004
261.000	112729.000	1.000	0.000	0.046	-0.004
262.000	113801.000	1.000	0.000	0.046	-0.004
263.000	114873.000	1.000	0.000	0.043	-0.004
264.000	115945.000	1.000	0.000	0.023	-0.004
265.000	117017.000	1.000	0.000	0.033	-0.004
266.000	118089.000	1.000	0.000	0.042	-0.004
267.000	119160.000	1.000	0.000	0.045	-0.004
268.000	120232.000	1.000	0.000	0.043	-0.004
269.000	121304.000	1.000	0.000	0.037	-0.004
270.000	122376.000	1.000	0.000	0.037	-0.004
271.000	123448.000	1.000	0.000	0.039	-0.004
272.000	124520.000	1.000	0.000	0.037	-0.004
273.000	125592.000	1.000	0.000	0.041	-0.004
274.000	126664.000	1.000	0.000	0.044	-0.004
275.000	127736.000	1.000	0.000	0.060	-0.004
276.000	128808.000	1.000	0.000	0.047	-0.004
277.000	129880.000	1.000	0.000	0.036	-0.004
278.000	130951.000	1.000	0.000	0.038	-0.004
279.000	132023.000	1.000	0.000	0.027	-0.004
280.000	133095.000	1.000	0.000	0.045	-0.004
281.000	134167.000	1.000	0.000	0.056	-0.004
282.000	135239.000	1.000	0.000	0.066	-0.004
283.000	136311.000	1.000	0.000	0.042	-0.004
284.000	137383.000	1.000	0.000	0.043	-0.004
285.000	138455.000	1.000	0.000	0.034	-0.004
286.000	139527.000	1.000	0.000	0.046	-0.004
287.000	140599.000	1.000	0.000	0.037	-0.004
288.000	141671.000	1.000	0.000	0.045	-0.004
289.000	142743.000	1.000	0.000	0.060	-0.004
290.000	143814.000	1.000	0.000	0.061	-0.004
291.000	144886.000	1.000	0.000	0.051	-0.004
292.000	145958.000	1.000	0.000	0.042	-0.004
293.000	147030.000	1.000	0.000	0.040	-0.004
294.000	148102.000	1.000	0.000	0.037	-0.004
295.000	149174.000	1.000	0.000	0.026	-0.004
296.000	150246.000	1.000	0.000	0.044	-0.004
297.000	151318.000	1.000	0.000	0.057	-0.004
298.000	152390.000	1.000	0.000	0.055	-0.004
299.000	152658.000	1.000	0.000	0.039	-0.004
300.000	151586.000	1.000	0.000	0.059	-0.004
301.000	150514.000	1.000	0.000	0.045	-0.004
302.000	149442.000	1.000	0.000	0.041	-0.004
303.000	148370.000	1.000	0.000	0.031	-0.004
304.000	147298.000	1.000	0.000	0.035	-0.004
305.000	146226.000	1.000	0.000	0.040	-0.004
306.000	145154.000	1.000	0.000	0.055	-0.004
307.000	144082.000	1.000	0.000	0.057	-0.004
308.000	143010.000	1.000	0.000	0.048	-0.004
309.000	141939.000	1.000	0.000	0.045	-0.004
310.000	140867.000	1.000	0.000	0.050	-0.004
311.000	139795.000	1.000	0.000	0.035	-0.004
312.000	138723.000	1.000	0.000	0.051	-0.004
313.000	137651.000	1.000	0.000	0.047	-0.004
314.000	136579.000	1.000	0.000	0.050	-0.004
315.000	135507.000	1.000	0.000	0.064	-0.004
316.000	134435.000	1.000	0.000	0.057	-0.004
317.000	133363.000	1.000	0.000	0.037	-0.004
