# Filename	C:\Users\labuser\Documents\Data\2018-09-25\2_fscan.txt
# Date	2018-9-25-19:43
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using n=34 + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19699400000.000	-0.003
19590500000.000	-0.004
19591500000.000	-0.002
19592500000.000	-0.002
19593500000.000	-0.004
19594500000.000	-0.004
19595500000.000	-0.003
19596500000.000	-0.004
19597500000.000	-0.008
19598500000.000	-0.009
19599500000.000	-0.010
19600500000.000	-0.010
19601500000.000	-0.008
19602500000.000	-0.005
19603500000.000	-0.002
19604500000.000	0.000
19605500000.000	-0.004
19606500000.000	-0.004
19607500000.000	-0.002
19608500000.000	-0.005
19609500000.000	-0.006
19610500000.000	-0.005
19611500000.000	-0.003
19612500000.000	-0.002
19613500000.000	-0.000
19614500000.000	-0.003
19615500000.000	-0.006
19616500000.000	-0.006
19617500000.000	-0.014
19618500000.000	-0.013
19619500000.000	-0.014
19620500000.000	-0.015
19621500000.000	-0.017
19622500000.000	-0.024
19623500000.000	-0.026
19624500000.000	-0.033
19625500000.000	-0.041
19626500000.000	-0.044
19627500000.000	-0.058
19628500000.000	-0.072
19629500000.000	-0.080
19630500000.000	-0.085
19631500000.000	-0.084
19632500000.000	-0.092
19633500000.000	-0.096
19634500000.000	-0.113
19635500000.000	-0.121
19636500000.000	-0.121
19637500000.000	-0.113
19638500000.000	-0.105
19639500000.000	-0.107
19640500000.000	-0.099
19641500000.000	-0.092
19642500000.000	-0.077
19643500000.000	-0.069
19644500000.000	-0.059
19645500000.000	-0.057
19646500000.000	-0.047
19647500000.000	-0.047
19648500000.000	-0.042
19649500000.000	-0.040
19650500000.000	-0.039
19651500000.000	-0.030
19652500000.000	-0.027
19653500000.000	-0.021
19654500000.000	-0.018
19655500000.000	-0.023
19656500000.000	-0.026
19657500000.000	-0.024
19658500000.000	-0.020
19659500000.000	-0.018
19660500000.000	-0.014
19661500000.000	-0.015
19662500000.000	-0.009
19663500000.000	-0.011
19664500000.000	-0.003
19665500000.000	-0.005
19666500000.000	-0.010
19667500000.000	-0.007
19668500000.000	-0.006
19669500000.000	-0.007
19670500000.000	-0.003
19671500000.000	-0.003
19672500000.000	-0.006
19673500000.000	-0.007
19674500000.000	-0.005
19675500000.000	-0.003
19676500000.000	-0.007
19677500000.000	-0.003
19678500000.000	-0.003
19679500000.000	-0.002
19680500000.000	0.000
19681500000.000	-0.002
19682500000.000	0.002
19683500000.000	0.002
