# Title: Diode Laser Toptica Frequency Scan, 9 dB MW, PM Blink.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 35 dB PM, 55.75 V Top to Bot, n=27. Use Toptica to scan from 361373 to 361345 ish GHz over 10 Seconds.
# Type:	Toptica Frequency
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361373 to 361345 GHz
# Target:	Full Stark States in 55.75 V = 9.2 V/cm
# Laser Mod:	0th: 1.35	1st: 1.41
# Laser Mod Attn:	35 dB
# Delay:	106892 (pi, Max for Red States)
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
b	r	s
0.017	0.013	0.017
0.011	0.014	0.013
0.012	0.008	0.013
0.019	0.005	0.023
0.012	0.009	0.024
0.011	0.018	0.020
0.011	0.014	0.025
0.011	0.027	0.008
0.010	0.026	0.021
0.017	0.020	0.030
0.019	0.023	0.022
0.016	0.019	0.028
0.010	-0.001	0.011
0.012	0.004	0.011
0.010	0.010	0.019
0.015	0.011	0.016
0.025	0.015	0.001
0.016	0.016	0.012
0.016	0.022	0.015
0.021	0.013	0.010
0.022	0.010	0.018
0.007	0.009	0.008
0.016	0.007	0.013
0.013	0.008	0.025
0.010	0.019	0.011
0.014	0.017	0.013
0.018	0.021	0.008
0.021	0.015	0.017
0.018	0.022	0.021
0.018	0.009	0.016
0.018	0.019	0.011
0.008	0.018	0.021
0.011	0.020	0.015
0.014	0.016	0.013
0.005	0.025	0.018
0.014	0.014	0.022
0.018	0.022	0.012
0.018	0.011	0.020
0.013	0.005	0.012
0.011	0.016	0.016
0.008	0.027	0.021
0.011	0.027	0.015
0.016	0.027	0.020
0.020	0.026	0.025
0.022	0.020	0.031
0.012	0.013	0.034
0.010	0.005	0.017
0.002	0.011	0.016
0.008	0.009	0.021
0.017	-0.003	0.022
0.016	0.012	0.021
0.008	0.010	0.025
0.010	0.012	0.022
0.017	0.007	0.019
0.010	0.003	0.019
0.007	0.010	0.023
0.009	0.009	0.025
0.008	0.009	0.010
0.015	0.017	0.019
0.026	0.012	0.026
0.029	0.015	0.024
0.027	0.014	0.029
0.018	-0.008	0.014
0.018	0.005	0.007
0.012	0.009	0.012
0.016	0.018	0.021
0.025	0.016	0.009
0.014	0.020	0.018
0.011	0.016	0.020
0.017	0.010	0.012
0.017	0.003	0.017
0.009	0.004	0.014
0.016	0.002	0.023
0.013	0.010	0.027
0.010	0.017	0.017
0.018	0.011	0.018
0.022	0.022	0.012
0.019	0.018	0.012
0.012	0.017	0.005
0.017	0.000	0.010
0.017	0.002	0.011
0.007	0.009	0.020
0.017	0.016	0.020
0.020	0.012	0.017
0.010	0.022	0.029
0.016	0.005	0.032
0.020	0.013	0.023
0.013	0.010	0.030
0.011	0.011	0.012
0.013	0.007	0.014
0.008	0.019	0.009
0.011	0.020	0.019
0.019	0.017	0.022
0.026	0.020	0.027
0.025	0.022	0.034
0.013	0.012	0.030
0.015	0.015	0.019
0.008	0.021	0.022
0.010	0.026	0.021
0.017	0.017	0.015
0.014	0.021	0.014
0.005	0.017	0.021
0.017	0.012	0.026
0.019	0.007	0.022
0.014	0.006	0.027
0.009	0.015	0.019
0.010	0.015	0.022
0.008	0.020	0.016
0.010	0.016	0.020
0.017	0.015	0.022
0.023	0.021	0.020
0.019	0.016	0.020
0.017	-0.000	0.008
0.011	0.012	0.004
0.006	0.018	0.013
0.011	0.023	0.021
0.014	0.027	0.016
0.007	0.030	0.021
0.008	0.023	0.022
0.017	0.014	0.016
0.021	0.008	0.021
0.004	0.002	0.015
0.007	-0.001	0.023
0.008	0.006	0.028
0.006	0.015	0.014
0.013	0.014	0.016
0.018	0.019	0.011
0.019	0.016	0.024
0.014	0.024	0.015
0.017	0.009	0.010
0.014	0.020	0.003
0.008	0.015	0.017
0.015	0.021	0.012
0.008	0.017	0.012
0.002	0.024	0.015
0.010	0.009	0.023
0.017	0.022	0.015
0.015	0.014	0.023
0.011	0.012	0.011
0.010	0.009	0.014
0.003	0.019	0.006
0.009	0.022	0.006
0.017	0.022	0.012
0.022	0.026	0.020
0.022	0.024	0.025
0.010	0.016	0.023
0.014	0.018	0.009
0.010	0.018	0.021
0.012	0.028	0.024
0.019	0.022	0.022
0.020	0.021	0.016
0.012	0.016	0.022
0.019	0.013	0.026
0.026	0.011	0.020
0.021	0.009	0.024
0.016	0.017	0.012
0.019	0.006	0.013
0.011	0.019	0.010
0.011	0.033	0.018
0.018	0.028	0.024
0.021	0.033	0.017
0.019	0.024	0.024
0.012	0.007	0.019
0.009	0.012	0.013
0.008	0.018	0.025
0.016	0.023	0.033
0.019	0.028	0.023
0.012	0.030	0.022
0.015	0.020	0.023
0.020	0.022	0.015
0.024	0.010	0.016
0.010	0.003	0.008
0.013	0.004	0.020
0.007	0.007	0.021
0.006	0.017	0.013
0.010	0.018	0.021
0.017	0.026	0.015
0.014	0.017	0.023
0.013	0.011	0.016
0.011	0.008	0.012
0.014	0.017	0.005
0.006	0.021	0.011
0.014	0.022	0.012
0.016	0.018	0.014
0.006	0.019	0.015
0.016	0.007	0.021
0.024	0.010	0.017
0.018	-0.002	0.017
0.012	0.009	0.005
0.013	0.010	0.016
0.010	0.018	0.014
0.010	0.014	0.014
0.016	0.017	0.017
0.021	0.019	0.010
0.021	0.019	0.016
0.011	0.013	0.014
0.015	-0.000	-0.000
0.012	0.012	0.008
0.015	0.017	0.017
0.019	0.011	0.018
0.020	0.015	0.018
0.011	0.020	0.020
0.016	0.021	0.019
0.019	0.014	0.016
0.017	0.009	0.014
0.014	0.007	0.018
0.011	0.004	0.022
0.007	0.017	0.020
0.008	0.019	0.028
0.013	0.014	0.028
0.020	0.011	0.023
0.010	0.012	0.036
0.004	-0.000	0.018
0.009	0.005	0.016
0.004	0.014	0.027
0.009	0.020	0.027
0.018	0.022	0.024
0.013	0.025	0.029
0.015	0.018	0.030
0.021	0.004	0.017
0.024	0.005	0.020
0.006	0.007	0.018
0.008	0.002	0.019
0.001	0.009	0.024
0.001	0.019	0.011
0.010	0.014	0.019
0.013	0.020	0.017
0.015	0.012	0.023
0.017	0.020	0.015
0.014	0.004	0.013
0.016	0.011	0.009
0.011	0.014	0.013
0.013	0.023	0.009
0.015	0.019	0.007
0.005	0.028	0.012
0.014	0.009	0.016
0.022	0.019	0.011
0.019	-0.001	0.016
0.013	0.009	0.015
0.015	0.002	0.015
0.008	0.014	0.009
0.012	0.021	0.009
0.018	0.014	0.022
0.022	0.017	0.015
0.022	0.018	0.022
0.014	0.012	0.017
0.015	0.007	0.005
0.007	0.020	0.012
0.016	0.027	0.015
0.025	0.019	0.013
0.021	0.027	0.011
0.016	0.022	0.015
0.017	0.021	0.026
0.021	0.014	0.019
0.017	0.012	0.027
0.010	0.019	0.024
0.009	0.022	0.031
0.006	0.027	0.027
0.010	0.028	0.032
0.016	0.022	0.035
0.024	0.023	0.026
0.018	0.023	0.034
0.013	0.005	0.016
0.021	0.015	0.019
0.005	0.015	0.020
0.014	0.022	0.014
0.025	0.026	0.008
0.020	0.029	0.015
0.018	0.025	0.021
0.019	0.014	0.019
0.023	0.011	0.025
0.009	0.015	0.008
0.015	0.004	0.021
0.012	0.016	0.018
0.008	0.024	0.012
0.013	0.011	0.022
0.023	0.019	0.017
0.021	0.017	0.020
0.012	0.025	0.018
0.013	-0.003	0.010
0.012	0.016	0.007
0.010	0.021	0.020
0.012	0.022	0.014
0.016	0.024	0.014
0.010	0.025	0.023
0.019	0.008	0.025
0.022	0.008	0.021
0.019	-0.000	0.027
0.009	0.007	0.017
0.014	0.001	0.025
0.010	0.006	0.023
0.012	0.009	0.022
0.016	0.007	0.032
0.025	0.018	0.019
0.024	0.015	0.025
0.014	0.012	0.019
0.013	0.006	0.008
0.006	0.021	0.012
0.014	0.028	0.017
0.020	0.020	0.017
0.019	0.023	0.018
0.009	0.017	0.009
0.015	0.009	0.015
0.025	0.002	0.018
0.021	0.001	0.021
0.013	0.008	0.026
0.016	0.002	0.032
0.015	0.010	0.028
0.016	0.018	0.028
0.019	0.016	0.036
0.021	0.018	0.023
0.017	0.012	0.028
0.013	-0.007	0.014
0.015	0.003	0.006
0.010	0.009	0.017
0.019	0.017	0.004
0.025	0.015	0.003
0.016	0.008	0.010
0.014	0.011	0.017
0.020	0.011	-0.002
0.023	-0.003	0.010
0.009	0.001	0.003
0.014	0.006	0.011
0.011	0.010	0.012
0.010	0.017	0.006
0.014	0.012	0.016
0.022	0.018	0.007
0.017	0.009	0.021
0.011	0.019	0.014
0.015	-0.001	0.009
0.011	0.008	0.002
0.015	0.012	0.008
0.020	0.004	0.013
0.020	0.010	0.007
0.017	0.010	0.016
0.022	-0.001	0.016
0.024	0.014	0.014
0.018	-0.007	0.017
0.016	0.006	0.012
0.018	0.003	0.020
0.008	0.013	0.011
0.006	0.015	0.017
0.012	0.014	0.021
0.021	0.015	0.018
0.026	0.012	0.021
0.015	0.013	0.020
0.016	0.009	0.007
0.006	0.016	0.012
0.014	0.021	0.022
0.021	0.018	0.015
0.015	0.024	0.013
0.012	0.023	0.013
0.019	0.021	0.017
0.023	0.018	0.015
0.014	0.014	0.023
0.010	0.014	0.022
0.018	0.008	0.028
0.016	0.015	0.023
0.016	0.022	0.033
0.017	0.015	0.034
0.014	0.016	0.025
0.014	-0.004	0.028
0.015	-0.014	0.013
0.014	-0.005	0.009
0.006	0.011	0.014
0.014	0.020	0.009
0.018	0.011	0.007
0.011	0.018	0.017
0.012	0.016	0.027
0.017	0.016	0.021
0.022	0.017	0.024
0.005	0.018	0.014
0.010	0.012	0.023
0.008	0.019	0.024
0.004	0.026	0.011
0.015	0.024	0.017
0.023	0.032	0.015
0.024	0.019	0.024
0.020	0.013	0.013
0.018	0.003	0.012
0.012	0.013	0.011
0.015	0.019	0.016
0.021	0.018	0.010
0.020	0.024	0.006
0.013	0.033	0.011
0.021	0.017	0.017
0.021	0.025	0.012
0.012	0.002	0.012
0.010	0.015	0.013
0.011	0.016	0.021
0.006	0.025	0.011
0.013	0.030	0.009
0.020	0.023	0.015
0.022	0.033	0.010
0.017	0.030	0.025
0.013	0.019	0.017
0.018	0.010	0.008
0.007	0.012	0.011
0.010	0.022	0.015
0.020	0.018	0.004
0.016	0.025	0.005
0.014	0.024	0.017
0.019	0.031	0.020
0.021	0.016	0.016
0.016	0.011	0.026
0.014	0.016	0.023
0.022	0.014	0.022
0.016	0.019	0.019
0.019	0.019	0.024
0.020	0.018	0.023
0.021	0.022	0.022
0.021	0.021	0.027
0.023	0.004	0.003
0.020	0.012	-0.000
0.010	0.009	0.011
0.014	0.018	0.008
0.022	0.012	0.008
0.013	0.013	0.024
0.017	0.006	0.023
0.020	0.001	0.022
0.019	-0.001	0.027
0.006	0.003	0.014
0.010	0.004	0.018
0.012	0.016	0.020
0.005	0.018	0.019
0.015	0.005	0.025
0.018	0.010	0.015
0.019	0.000	0.022
0.012	0.001	0.013
0.011	-0.009	0.005
0.004	0.001	0.004
0.004	0.011	0.014
0.011	0.012	0.011
0.017	0.018	0.005
0.008	0.023	0.013
0.011	0.011	0.019
0.019	0.027	0.020
0.020	0.006	0.023
0.008	0.013	0.019
0.010	0.011	0.027
0.006	0.018	0.028
0.015	0.025	0.025
0.018	0.020	0.029
0.025	0.012	0.024
0.015	0.009	0.027
0.010	0.005	0.023
0.008	-0.002	0.013
-0.002	0.009	0.022
0.008	0.021	0.028
0.012	0.022	0.019
0.012	0.024	0.024
0.010	0.025	0.028
0.016	0.007	0.031
0.024	0.008	0.023
0.012	-0.003	0.017
0.010	0.008	0.016
0.016	0.006	0.023
0.010	0.016	0.020
0.020	0.019	0.033
0.020	0.013	0.033
0.024	0.004	0.028
0.017	0.006	0.032
0.017	-0.025	0.013
0.016	-0.014	0.006
0.008	-0.008	0.019
0.015	0.004	0.000
0.019	0.001	0.002
0.009	0.009	0.014
0.009	0.014	0.019
0.017	0.012	0.015
0.022	-0.004	0.016
0.007	-0.002	0.012
0.015	0.001	0.021
0.013	0.017	0.023
0.008	0.017	0.010
0.016	0.014	0.014
0.026	0.017	0.010
0.025	-0.001	0.017
0.017	0.009	0.014
0.015	-0.010	0.028
0.018	0.003	0.031
0.012	0.018	0.030
0.019	0.016	0.023
0.020	0.022	0.020
0.007	0.020	0.024
0.013	-0.013	0.027
0.021	-0.016	0.021
0.019	-0.007	0.027
0.016	0.002	0.014
0.014	-0.007	0.025
0.013	0.010	0.005
0.019	0.008	0.005
0.023	0.008	0.019
0.028	0.013	0.018
0.022	0.012	0.018
0.015	-0.013	0.011
0.018	-0.013	0.003
0.008	0.000	0.011
0.011	0.005	0.020
0.019	0.003	0.007
0.009	0.001	0.015
0.009	0.001	0.022
0.014	-0.009	0.024
0.020	-0.014	0.017
0.008	-0.021	0.016
0.012	-0.008	0.022
0.012	-0.012	0.028
0.008	-0.008	0.016
0.015	-0.002	0.018
0.017	0.008	0.021
0.018	0.012	0.016
0.016	0.000	0.020
0.019	-0.032	-0.001
0.018	-0.016	0.002
0.008	0.001	0.016
0.011	-0.002	0.008
0.018	0.000	0.007
0.008	0.009	0.018
0.012	0.005	0.017
0.020	0.005	0.013
0.021	-0.003	0.022
0.006	-0.024	0.015
0.011	-0.029	0.020
0.006	-0.029	0.025
0.004	-0.013	0.018
0.011	-0.008	0.020
0.018	-0.018	0.015
0.019	-0.030	0.021
0.014	-0.032	0.013
0.013	-0.038	0.015
0.017	-0.036	0.025
0.012	-0.021	0.025
0.017	-0.019	0.017
0.021	-0.020	0.017
0.013	-0.026	0.023
0.015	-0.042	0.021
0.022	-0.053	0.018
0.015	-0.070	0.023
0.008	-0.061	0.021
0.011	-0.066	0.013
0.007	-0.052	0.004
0.014	-0.048	-0.003
0.021	-0.056	0.012
0.025	-0.054	-0.002
0.020	-0.096	0.014
0.015	-0.115	0.013
0.015	-0.128	-0.009
0.007	-0.106	-0.013
0.013	-0.107	-0.004
0.019	-0.108	-0.014
0.016	-0.121	-0.013
0.013	-0.120	-0.001
0.014	-0.132	0.011
0.019	-0.130	0.006
0.009	-0.148	-0.004
0.006	-0.122	0.010
0.010	-0.131	0.017
0.003	-0.111	-0.006
0.011	-0.110	-0.005
0.017	-0.118	0.006
0.013	-0.090	0.002
0.018	-0.100	0.009
0.018	-0.105	-0.008
0.017	-0.066	-0.003
0.010	-0.044	0.012
0.019	-0.068	0.001
0.025	-0.076	-0.005
0.014	-0.094	0.006
0.019	-0.118	0.015
0.023	-0.115	0.009
0.026	-0.109	0.017
0.014	-0.105	0.009
0.014	-0.084	0.019
0.013	-0.051	0.024
0.011	-0.059	0.017
0.016	-0.070	0.020
0.020	-0.061	0.014
0.022	-0.050	0.024
0.013	-0.062	0.023
0.017	-0.060	0.028
0.018	-0.057	0.027
0.015	-0.050	0.026
0.025	-0.048	0.012
0.021	-0.041	-0.005
0.014	-0.032	0.010
0.022	-0.039	0.016
0.026	-0.021	0.015
0.022	-0.051	0.019
0.015	-0.044	0.025
0.019	-0.076	0.023
0.014	-0.090	0.010
0.010	-0.084	0.006
0.019	-0.077	0.019
0.025	-0.077	0.017
0.017	-0.094	0.024
0.008	-0.113	0.018
0.007	-0.115	0.003
0.000	-0.110	0.003
0.013	-0.087	0.008
0.022	-0.075	0.002
0.015	-0.071	0.005
0.012	-0.080	0.016
0.015	-0.102	0.016
0.022	-0.117	0.005
0.012	-0.128	-0.003
0.010	-0.120	-0.007
0.011	-0.142	-0.011
0.004	-0.147	-0.018
0.012	-0.152	-0.008
0.018	-0.132	-0.003
0.016	-0.119	0.000
0.018	-0.121	0.007
0.022	-0.144	-0.002
0.018	-0.179	-0.016
0.012	-0.164	-0.004
0.022	-0.166	-0.006
0.030	-0.174	-0.012
0.018	-0.158	-0.008
0.019	-0.152	-0.002
0.022	-0.128	-0.032
0.024	-0.140	-0.014
0.016	-0.120	-0.018
0.013	-0.145	-0.006
0.010	-0.122	0.003
0.007	-0.133	-0.014
0.014	-0.134	-0.012
0.022	-0.101	-0.019
0.021	-0.117	-0.015
0.014	-0.103	-0.004
0.016	-0.114	0.004
0.014	-0.089	0.007
0.009	-0.086	0.011
0.015	-0.087	0.006
0.017	-0.093	0.008
0.011	-0.067	0.022
0.012	-0.065	0.025
0.019	-0.070	0.018
0.019	-0.094	0.013
0.017	-0.068	0.020
0.017	-0.058	0.025
0.011	-0.028	0.020
0.014	-0.030	0.008
0.025	-0.040	0.016
0.028	-0.027	0.018
0.021	-0.023	0.021
0.015	-0.029	0.015
0.014	-0.029	0.013
0.008	-0.014	0.024
0.016	-0.003	0.025
0.022	-0.004	0.011
0.014	0.008	0.017
0.009	-0.001	0.022
0.011	-0.018	0.023
0.019	-0.010	0.016
0.007	-0.004	0.014
0.007	-0.005	0.022
0.007	-0.004	0.026
0.004	-0.019	0.007
0.014	-0.009	0.013
0.019	-0.013	0.015
0.014	0.002	0.022
0.009	-0.017	0.027
0.014	-0.020	0.014
0.011	-0.011	0.010
0.009	-0.004	0.019
0.015	-0.006	0.021
0.022	-0.009	0.018
0.011	-0.001	0.021
0.013	-0.014	0.024
0.019	0.001	0.024
0.027	-0.007	0.028
0.009	-0.009	0.025
0.008	-0.006	0.029
0.008	-0.001	0.030
0.007	0.003	0.025
0.014	0.002	0.031
0.022	0.015	0.020
0.019	0.002	0.020
0.015	0.008	0.014
0.016	-0.009	0.019
0.010	-0.009	0.021
0.010	-0.001	0.026
0.014	-0.013	0.018
0.011	-0.007	0.017
0.003	0.001	0.021
0.012	-0.024	0.024
0.020	-0.018	0.018
0.015	-0.027	0.020
0.010	-0.016	0.019
0.008	-0.019	0.026
0.006	-0.023	0.021
0.011	-0.004	0.014
0.019	-0.008	0.023
0.027	0.003	0.015
0.024	-0.009	0.022
0.016	-0.011	0.019
0.015	-0.016	0.007
0.009	-0.007	0.012
0.016	0.000	0.020
0.022	-0.001	0.006
0.018	0.013	0.014
0.012	0.014	0.015
0.018	0.017	0.019
0.023	0.007	0.017
0.012	0.007	0.010
0.012	0.010	0.022
0.014	0.009	0.024
0.009	0.013	0.007
0.019	0.002	0.014
0.020	0.011	0.022
0.020	0.011	0.015
0.019	0.014	0.029
0.022	0.005	0.015
0.019	0.008	0.013
0.011	0.007	0.018
0.015	0.018	0.021
0.022	0.021	0.018
0.011	0.026	0.020
0.014	0.008	0.022
0.019	0.009	0.015
0.023	0.006	0.023
0.005	0.009	0.020
0.005	-0.001	0.026
0.009	0.002	0.019
0.005	0.006	0.004
0.006	-0.001	0.006
0.012	0.010	0.005
0.013	-0.010	0.010
0.015	-0.006	0.008
0.014	-0.017	0.002
0.012	-0.002	-0.004
0.012	0.008	0.003
0.015	0.007	0.003
0.017	0.009	0.006
0.015	0.018	0.018
0.018	0.009	0.028
0.022	0.012	0.022
0.016	0.010	0.026
0.013	0.007	0.029
0.017	0.011	0.033
0.013	0.015	0.021
0.011	0.021	0.022
0.013	0.019	0.028
0.019	0.022	0.025
0.015	0.011	0.034
0.005	0.003	0.033
0.008	0.004	0.019
-0.002	0.005	0.025
0.007	0.013	0.028
0.019	0.005	0.009
0.014	0.010	0.015
0.012	0.002	0.017
0.017	0.007	0.019
0.021	0.008	0.016
0.006	0.004	0.017
0.008	0.010	0.019
0.017	0.006	0.028
0.007	0.016	0.002
0.011	0.018	0.008
0.018	0.017	0.005
0.019	0.022	0.017
0.019	0.018	0.022
0.022	0.002	0.011
0.019	0.001	0.007
0.010	0.009	0.010
0.021	0.014	0.001
0.032	0.017	0.002
0.013	0.019	0.012
0.009	0.010	0.017
0.017	0.012	0.015
0.025	0.006	0.027
0.013	0.000	0.017
0.010	-0.006	0.016
0.012	-0.014	0.019
0.012	-0.003	0.004
0.014	-0.001	0.016
0.019	-0.003	0.007
0.022	0.000	0.016
0.018	0.005	0.008
0.017	0.003	0.002
0.014	0.011	-0.005
0.013	0.009	0.003
0.017	0.009	0.007
0.016	0.014	0.007
0.008	0.008	0.006
0.017	-0.001	0.014
0.023	0.008	0.012
0.018	0.007	0.016
0.010	0.012	0.010
0.012	0.009	0.010
0.011	0.015	0.013
0.007	0.014	0.005
0.021	0.014	0.012
0.024	0.015	0.012
0.016	0.012	0.029
0.010	0.006	0.025
0.012	-0.001	0.014
0.003	0.011	0.016
0.014	0.014	0.022
0.023	0.013	0.001
0.016	0.014	0.014
0.012	0.012	0.019
0.018	0.017	0.020
0.020	0.016	0.011
0.009	0.016	0.003
0.013	0.019	0.016
0.018	0.007	0.025
0.012	0.013	0.003
0.018	0.002	0.016
0.023	-0.012	0.013
0.021	-0.005	0.016
0.017	0.001	0.020
0.017	-0.007	0.013
0.018	0.007	0.008
0.009	0.006	0.016
0.017	0.009	0.015
0.020	0.007	0.019
0.007	0.017	0.026
0.010	0.006	0.030
0.015	0.017	0.024
0.023	0.009	0.027
0.010	0.009	0.014
0.010	-0.005	0.016
0.007	0.008	0.020
0.006	0.009	0.015
0.010	0.004	0.021
0.018	0.012	0.018
0.020	-0.001	0.019
0.018	0.003	0.028
0.017	-0.006	0.013
0.013	0.001	0.007
0.013	-0.003	0.014
0.018	-0.006	0.014
0.023	-0.004	0.014
0.012	0.002	0.020
0.019	-0.006	0.022
0.026	0.002	0.014
0.016	-0.014	0.024
0.008	-0.001	0.021
0.016	-0.001	0.024
0.012	0.003	0.016
0.019	0.011	0.013
0.024	0.006	0.014
0.027	0.008	0.011
0.018	0.007	0.017
0.015	-0.003	0.014
0.017	-0.003	-0.002
0.008	-0.002	0.012
0.011	-0.004	0.017
0.013	-0.000	0.003
0.010	0.012	0.011
0.005	0.003	0.022
0.011	-0.001	0.016
0.023	-0.002	0.017
0.012	0.002	0.014
0.011	0.004	0.023
0.010	0.003	0.026
0.006	0.006	0.011
0.012	-0.001	0.025
0.012	0.002	0.022
0.013	0.006	0.030
0.016	-0.012	0.034
0.008	-0.027	0.017
0.008	-0.027	0.017
-0.001	-0.020	0.024
0.007	-0.018	0.020
0.014	-0.009	0.013
0.007	-0.004	0.018
0.010	-0.010	0.029
0.017	-0.005	0.018
0.022	-0.023	0.022
0.005	-0.031	0.012
0.007	-0.035	0.022
0.009	-0.018	0.024
0.010	-0.013	0.012
0.013	-0.009	0.022
0.018	-0.009	0.018
0.020	-0.022	0.027
0.017	-0.008	0.031
0.019	-0.013	0.023
0.017	-0.036	0.016
0.013	-0.025	0.022
0.018	-0.025	0.017
0.018	-0.022	0.015
0.011	-0.030	0.023
0.021	-0.033	0.027
0.024	-0.019	0.020
0.017	-0.017	0.022
0.010	-0.019	0.021
0.012	-0.032	0.019
0.010	-0.027	0.014
0.011	-0.041	0.012
0.019	-0.040	0.022
0.025	-0.033	0.016
0.019	-0.040	0.025
0.011	-0.046	0.019
0.015	-0.078	0.004
0.007	-0.084	0.009
0.010	-0.064	0.018
0.016	-0.090	-0.002
0.010	-0.092	0.010
0.010	-0.095	0.013
0.016	-0.100	0.021
0.020	-0.101	0.018
0.014	-0.116	0.009
0.014	-0.109	0.007
0.019	-0.150	0.005
0.011	-0.175	-0.003
0.014	-0.168	0.007
0.019	-0.170	0.002
0.013	-0.180	-0.013
0.013	-0.145	-0.010
0.011	-0.152	-0.020
0.007	-0.177	-0.021
-0.003	-0.193	-0.005
0.006	-0.211	-0.007
0.013	-0.195	-0.025
0.004	-0.167	-0.019
0.008	-0.198	-0.014
0.013	-0.204	-0.011
0.022	-0.176	0.002
0.003	-0.158	-0.004
0.006	-0.187	-0.002
0.011	-0.149	0.009
0.016	-0.158	-0.024
0.019	-0.184	-0.019
0.018	-0.168	-0.025
0.017	-0.189	-0.009
0.013	-0.198	-0.013
0.014	-0.195	-0.008
0.007	-0.169	-0.018
0.006	-0.182	-0.021
0.015	-0.164	-0.011
0.016	-0.165	-0.009
0.011	-0.149	-0.004
0.021	-0.137	0.005
0.025	-0.146	0.006
0.021	-0.150	0.010
0.015	-0.135	0.005
0.016	-0.117	0.015
0.014	-0.130	0.014
0.017	-0.123	0.015
0.023	-0.144	0.018
0.029	-0.154	0.018
0.020	-0.154	0.010
0.010	-0.147	0.011
0.012	-0.154	-0.002
0.006	-0.131	0.003
0.019	-0.126	0.010
0.023	-0.140	-0.004
0.014	-0.141	0.001
0.011	-0.143	0.010
0.021	-0.176	0.002
0.024	-0.201	0.003
0.015	-0.206	-0.008
0.014	-0.191	0.002
0.014	-0.177	0.014
0.010	-0.221	-0.000
0.016	-0.251	0.004
0.020	-0.220	-0.005
0.017	-0.219	0.001
0.016	-0.196	0.001
0.011	-0.206	-0.004
0.010	-0.240	-0.011
0.005	-0.225	-0.003
0.013	-0.185	0.003
