# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 33 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	33 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
271	-128.02	5.97627E-6	0.132102	0.142789	
272	-128.62	5.97627E-6	0.137397	0.139205	
273	-129.32	5.97627E-6	0.126578	0.13835	
274	-129.92	5.97627E-6	0.136772	0.143381	
275	-130.62	5.97627E-6	0.121579	0.107374	
276	-131.32	5.97627E-6	0.133023	0.143316	
277	-131.82	5.97627E-6	0.118554	0.130326	
278	-132.72	5.97627E-6	0.119639	0.132661	
279	-133.32	5.97627E-6	0.135719	0.119804	
280	-133.92	5.97627E-6	0.121152	0.126874	
281	-134.62	5.97627E-6	0.123618	0.129965	
282	-135.32	5.97627E-6	0.123717	0.126052	
283	-136.02	5.97627E-6	0.127334	0.121316	
284	-136.72	5.97627E-6	0.119705	0.131247	
285	-137.42	5.97627E-6	0.122105	0.129241	
286	-137.82	5.97627E-6	0.130096	0.135851	
287	-138.52	5.97627E-6	0.132201	0.123421	
288	-139.12	5.97627E-6	0.125788	0.130261	
289	-139.82	5.97627E-6	0.128255	0.125328	
290	-140.42	5.97627E-6	0.137956	0.127498	
291	-140.82	5.97627E-6	0.137133	0.127268	
292	-141.42	5.97627E-6	0.135391	0.127104	
293	-142.12	5.97627E-6	0.124111	0.13595	
294	-142.82	5.97627E-6	0.13424	0.129636	
295	-143.42	5.97627E-6	0.13345	0.142296	
296	-144.02	5.97627E-6	0.139074	0.123684	
297	-144.52	5.97627E-6	0.133056	0.126084	
298	-145.22	5.97627E-6	0.140257	0.129669	
299	-146.02	5.97627E-6	0.13766	0.139041	
300	-146.72	5.97627E-6	0.139172	0.135522	
301	-147.42	5.97627E-6	0.123322	0.123026	
302	-148.22	5.97627E-6	0.117074	0.126413	
303	-148.92	5.97627E-6	0.133779	0.139435	
