# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Started by using diode laser and Stark Broadening of 27f.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
158	-58.52	-0.0551978	-0.0560561	0.0172059	-0.00758362	
159	-59.32	-0.0551978	-0.0560561	0.0169428	-0.00758362	
160	-59.92	-0.0551978	-0.0560561	0.0244075	-0.00758362	
161	-60.92	-0.0551978	-0.0560561	0.0308527	-0.00758362	
162	-61.52	-0.0551978	-0.0560561	0.0368376	-0.00758362	
163	-62.32	-0.0551978	-0.0560561	0.0314117	-0.00758362	
164	-62.92	-0.0551978	-0.0560561	0.0336149	-0.00758362	
165	-63.82	-0.0551978	-0.0560561	0.0353249	-0.00758362	
166	-64.42	-0.0551978	-0.0560561	0.0396327	-0.00758362	
167	-65.32	-0.0551978	-0.0560561	0.0529178	-0.00758362	
168	-66.42	-0.0551978	-0.0560561	0.0472289	-0.00758362	
169	-66.92	-0.0551978	-0.0560561	0.0488731	-0.00758362	
170	-67.52	-0.0551978	-0.0560561	0.0537728	-0.00758362	
171	-68.72	-0.0551978	-0.0560561	0.0567652	-0.00758362	
172	-69.42	-0.0551978	-0.0560561	0.0604153	-0.00758362	
173	-70.22	-0.0551978	-0.0560561	0.0650848	-0.00758362	
174	-71.62	-0.0551978	-0.0560561	0.0657425	-0.00758362	
175	-72.32	-0.0551978	-0.0560561	0.0885639	-0.00758362	
176	-73.12	-0.0551978	-0.0560561	0.0890243	-0.00758362	
177	-73.82	-0.0551978	-0.0560561	0.0826448	-0.00758362	
178	-74.52	-0.0551978	-0.0560561	0.108097	-0.00758362	
179	-75.22	-0.0551978	-0.0560561	0.102638	-0.00758362	
180	-76.22	-0.0551978	-0.0560561	0.117008	-0.00758362	
181	-77.02	-0.0551978	-0.0560561	0.129537	-0.00758362	
182	-78.02	-0.0551978	-0.0560561	0.135917	-0.00758362	
183	-79.02	-0.0551978	-0.0560561	0.140849	-0.00758362	
184	-79.52	-0.0551978	-0.0560561	0.130228	-0.00758362	
185	-80.42	-0.0551978	-0.0560561	0.197673	-0.00758362	
186	-89.22	-0.0551978	-0.0560561	0.233418	-0.00758362	
187	-89.12	-0.0551978	-0.0560561	0.22273	-0.00758362	
188	-89.52	-0.0551978	-0.0560561	0.248084	-0.00758362	
189	-89.62	-0.0551978	-0.0560561	0.22786	-0.00758362	
190	-89.82	-0.0551978	-0.0560561	0.22352	-0.00758362	
191	-90.22	-0.0551978	-0.0560561	0.253444	-0.00758362	
192	-90.42	-0.0551978	-0.0560561	0.25078	-0.00758362	
193	-90.62	-0.0551978	-0.0560561	0.247623	-0.00758362	
194	-90.72	-0.0551978	-0.0560561	0.251833	-0.00758362	
195	-91.12	-0.0551978	-0.0560561	0.264559	-0.00758362	
196	-91.32	-0.0551978	-0.0560561	0.248577	-0.00758362	
197	-91.62	-0.0551978	-0.0560561	0.259758	-0.00758362	
198	-91.72	-0.0551978	-0.0560561	0.263572	-0.00758362	
199	-92.22	-0.0551978	-0.0560561	0.270675	-0.00758362	
200	-92.52	-0.0551978	-0.0560561	0.271958	-0.00758362	
201	-92.92	-0.0551978	-0.0560561	0.27176	-0.00758362	
202	-93.32	-0.0551978	-0.0560561	0.268669	-0.00758362	
203	-93.92	-0.0551978	-0.0560561	0.26663	-0.00758362	
204	-94.32	-0.0551978	-0.0560561	0.287051	-0.00758362	
205	-94.52	-0.0551978	-0.0560561	0.273569	-0.00758362	
206	-95.22	-0.0551978	-0.0560561	0.279948	-0.00758362	
207	-95.92	-0.0551978	-0.0560561	0.301224	-0.00758362	
208	-96.42	-0.0551978	-0.0560561	0.307703	-0.00758362	
209	-97.12	-0.0551978	-0.0560561	0.311583	-0.00758362	
210	-97.52	-0.0551978	-0.0560561	0.314838	-0.00758362	
211	-98.22	-0.0551978	-0.0560561	0.310169	-0.00758362	
212	-99.12	-0.0551978	-0.0560561	0.313457	-0.00758362	
213	-99.92	-0.0551978	-0.0560561	0.304315	-0.00758362	
214	-100.52	-0.0551978	-0.0560561	0.312964	-0.00758362	
215	-101.22	-0.0551978	-0.0560561	0.303756	-0.00758362	
216	-102.42	-0.0551978	-0.0560561	0.308163	-0.00758362	
217	-103.12	-0.0551978	-0.0560561	0.336049	-0.00758362	
218	-104.12	-0.0551978	-0.0560561	0.334766	-0.00758362	
219	-105.02	-0.0551978	-0.0560561	0.339468	-0.00758362	
220	-105.82	-0.0551978	-0.0560561	0.350123	-0.00758362	
221	-106.82	-0.0551978	-0.0560561	0.369426	-0.00758362	
222	-107.82	-0.0551978	-0.0560561	0.383237	-0.00758362	
223	-108.82	-0.0551978	-0.0560561	0.367519	-0.00758362	
224	-109.62	-0.0551978	-0.0560561	0.389518	-0.00758362	
225	-110.62	-0.0551978	-0.0560561	0.387446	-0.00758362	
226	-111.42	-0.0551978	-0.0560561	0.382218	-0.00758362	
227	-112.52	-0.0551978	-0.0560561	0.389452	-0.00758362	
228	-117.92	-0.0551978	-0.0560561	0.383434	-0.00758362	
229	-117.92	-0.0551978	-0.0560561	0.401784	-0.00758362	
230	-118.52	-0.0551978	-0.0560561	0.400172	-0.00758362	
231	-118.92	-0.0551978	-0.0560561	0.387611	-0.00758362	
232	-119.42	-0.0551978	-0.0560561	0.398528	-0.00758362	
233	-119.82	-0.0551978	-0.0560561	0.390274	-0.00758362	
234	-120.32	-0.0551978	-0.0560561	0.411123	-0.00758362	
235	-120.72	-0.0551978	-0.0560561	0.392412	-0.00758362	
236	-121.32	-0.0551978	-0.0560561	0.397969	-0.00758362	
237	-121.72	-0.0551978	-0.0560561	0.391425	-0.00758362	
238	-122.42	-0.0551978	-0.0560561	0.399219	-0.00758362	
239	-123.02	-0.0551978	-0.0560561	0.415332	-0.00758362	
240	-123.62	-0.0551978	-0.0560561	0.407308	-0.00758362	
241	-124.42	-0.0551978	-0.0560561	0.378206	-0.00758362	
242	-125.22	-0.0551978	-0.0560561	0.388236	-0.00758362	
243	-125.82	-0.0551978	-0.0560561	0.410926	-0.00758362	
244	-126.62	-0.0551978	-0.0560561	0.393365	-0.00758362	
245	-127.52	-0.0551978	-0.0560561	0.385671	-0.00758362	
246	-128.32	-0.0551978	-0.0560561	0.403494	-0.00758362	
247	-129.02	-0.0551978	-0.0560561	0.394582	-0.00758362	
248	-129.92	-0.0551978	-0.0560561	0.422172	-0.00758362	
249	-130.92	-0.0551978	-0.0560561	0.402672	-0.00758362	
250	-131.22	-0.0551978	-0.0560561	0.415398	-0.00758362	
251	-132.42	-0.0551978	-0.0560561	0.415661	-0.00758362	
252	-133.52	-0.0551978	-0.0560561	0.409018	-0.00758362	
253	-134.02	-0.0551978	-0.0560561	0.421744	-0.00758362	
254	-135.02	-0.0551978	-0.0560561	0.4494	-0.00758362	
255	-135.72	-0.0551978	-0.0560561	0.397016	-0.00758362	
256	-136.72	-0.0551978	-0.0560561	0.429604	-0.00758362	
257	-137.42	-0.0551978	-0.0560561	0.415595	-0.00758362	
258	-138.42	-0.0551978	-0.0560561	0.417601	-0.00758362	
259	-139.32	-0.0551978	-0.0560561	0.420265	-0.00758362	
260	-140.02	-0.0551978	-0.0560561	0.408953	-0.00758362	
261	-140.92	-0.0551978	-0.0560561	0.434734	-0.00758362	
262	-141.62	-0.0551978	-0.0560561	0.41816	-0.00758362	
263	-142.72	-0.0551978	-0.0560561	0.413293	-0.00758362	
264	-143.42	-0.0551978	-0.0560561	0.403954	-0.00758362	
265	-144.42	-0.0551978	-0.0560561	0.401455	-0.00758362	
266	-145.32	-0.0551978	-0.0560561	0.413556	-0.00758362	
267	-146.12	-0.0551978	-0.0560561	0.39547	-0.00758362	
