# Filename	C:\Users\labuser\Documents\Data\2018-09-27\1_fscan.txt
# Date	2018-9-27-11:41
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using 27f + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19645100000.000	-0.053
19646100000.000	-0.041
19647100000.000	-0.040
19648100000.000	-0.038
19649100000.000	-0.032
19650100000.000	-0.026
19651100000.000	-0.023
19652100000.000	-0.021
19653100000.000	-0.019
19654100000.000	-0.016
19655100000.000	-0.011
19656100000.000	-0.012
19657100000.000	-0.013
19658100000.000	-0.009
19659100000.000	-0.008
19660100000.000	-0.008
19661100000.000	-0.004
19662100000.000	-0.001
19663100000.000	-0.001
19664100000.000	0.004
19665100000.000	0.002
19666100000.000	0.001
19667100000.000	0.002
19668100000.000	0.001
19669100000.000	0.003
19610200000.000	0.003
19611200000.000	0.006
19612200000.000	0.005
19613200000.000	0.008
19614200000.000	0.006
19615200000.000	0.010
19616200000.000	0.002
19617200000.000	-0.000
19618200000.000	-0.000
19619200000.000	-0.005
19620200000.000	-0.006
19621200000.000	-0.011
19622200000.000	-0.008
19623200000.000	-0.011
19624200000.000	-0.021
19625200000.000	-0.028
19626200000.000	-0.030
19627200000.000	-0.029
19628200000.000	-0.031
19629200000.000	-0.037
19630200000.000	-0.042
19631200000.000	-0.042
19632200000.000	-0.045
19633200000.000	-0.054
19634200000.000	-0.062
19635200000.000	-0.071
19636200000.000	-0.076
19637200000.000	-0.074
19638200000.000	-0.070
19639200000.000	-0.073
19640200000.000	-0.067
19641200000.000	-0.070
19642200000.000	-0.058
19643200000.000	-0.058
19644200000.000	-0.050
19645200000.000	-0.050
19646200000.000	-0.044
19647200000.000	-0.041
19648200000.000	-0.030
19649200000.000	-0.028
19650200000.000	-0.025
19651200000.000	-0.025
19652200000.000	-0.020
19653200000.000	-0.019
19654200000.000	-0.016
19655200000.000	-0.016
19656200000.000	-0.014
19657200000.000	-0.006
19658200000.000	-0.009
19659200000.000	-0.002
19660200000.000	-0.002
19661200000.000	0.000
19662200000.000	-0.001
19663200000.000	-0.004
19664200000.000	-0.001
19665200000.000	-0.002
19666200000.000	-0.002
19667200000.000	0.003
19668200000.000	0.002
19669200000.000	0.003
19610300000.000	0.005
19611300000.000	0.004
19612300000.000	0.006
19613300000.000	0.006
19614300000.000	0.005
19615300000.000	0.002
19616300000.000	0.002
19617300000.000	0.002
19618300000.000	0.000
19619300000.000	-0.003
19620300000.000	-0.004
19621300000.000	-0.002
19622300000.000	-0.006
19623300000.000	-0.009
19624300000.000	-0.014
19625300000.000	-0.017
19626300000.000	-0.022
19627300000.000	-0.022
19628300000.000	-0.029
19629300000.000	-0.031
19630300000.000	-0.034
19631300000.000	-0.037
19632300000.000	-0.050
19633300000.000	-0.051
19634300000.000	-0.066
19635300000.000	-0.063
19636300000.000	-0.066
19637300000.000	-0.072
19638300000.000	-0.071
19639300000.000	-0.074
19640300000.000	-0.064
19641300000.000	-0.063
19642300000.000	-0.069
19643300000.000	-0.064
19644300000.000	-0.055
19645300000.000	-0.051
19646300000.000	-0.041
19647300000.000	-0.031
19648300000.000	-0.033
19649300000.000	-0.031
19650300000.000	-0.022
19651300000.000	-0.022
19652300000.000	-0.022
19653300000.000	-0.025
19654300000.000	-0.019
19655300000.000	-0.016
19656300000.000	-0.017
19657300000.000	-0.014
19658300000.000	-0.009
19659300000.000	-0.009
19660300000.000	-0.005
19661300000.000	-0.002
19662300000.000	-0.001
19663300000.000	-0.001
19664300000.000	-0.001
19665300000.000	0.000
19666300000.000	-0.001
19667300000.000	0.001
19668300000.000	0.002
19669300000.000	0.003
19610400000.000	0.008
19611400000.000	0.009
19612400000.000	0.006
19613400000.000	0.006
19614400000.000	0.006
19615400000.000	0.005
19616400000.000	0.001
19617400000.000	0.003
19618400000.000	0.005
19619400000.000	0.001
19620400000.000	0.004
19621400000.000	0.002
19622400000.000	-0.007
19623400000.000	-0.013
19624400000.000	-0.014
19625400000.000	-0.022
19626400000.000	-0.029
19627400000.000	-0.026
19628400000.000	-0.029
19629400000.000	-0.031
19630400000.000	-0.032
19631400000.000	-0.044
19632400000.000	-0.051
19633400000.000	-0.051
19634400000.000	-0.059
19635400000.000	-0.063
19636400000.000	-0.060
19637400000.000	-0.076
19638400000.000	-0.074
19639400000.000	-0.071
19640400000.000	-0.069
19641400000.000	-0.072
19642400000.000	-0.069
19643400000.000	-0.062
19644400000.000	-0.063
19645400000.000	-0.052
19646400000.000	-0.055
19647400000.000	-0.047
19648400000.000	-0.036
19649400000.000	-0.033
19650400000.000	-0.022
19651400000.000	-0.027
19652400000.000	-0.025
19653400000.000	-0.022
19654400000.000	-0.017
19655400000.000	-0.019
19656400000.000	-0.014
19657400000.000	-0.006
19658400000.000	-0.006
19659400000.000	-0.001
19660400000.000	-0.002
19661400000.000	-0.002
19662400000.000	-0.001
19663400000.000	0.001
19664400000.000	-0.001
19665400000.000	0.001
19666400000.000	-0.001
19667400000.000	0.002
19668400000.000	-0.002
19669400000.000	0.002
19610500000.000	0.004
19611500000.000	0.002
19612500000.000	0.003
19613500000.000	0.004
19614500000.000	0.002
19615500000.000	0.004
19616500000.000	0.006
19617500000.000	0.003
19618500000.000	-0.000
19619500000.000	-0.002
19620500000.000	0.004
19621500000.000	-0.002
19622500000.000	-0.002
19623500000.000	-0.007
19624500000.000	-0.012
19625500000.000	-0.013
19626500000.000	-0.018
19627500000.000	-0.029
19628500000.000	-0.035
19629500000.000	-0.028
19630500000.000	-0.036
19631500000.000	-0.040
19632500000.000	-0.047
19633500000.000	-0.060
19634500000.000	-0.061
19635500000.000	-0.065
19636500000.000	-0.074
19637500000.000	-0.077
19638500000.000	-0.068
19639500000.000	-0.080
19640500000.000	-0.075
19641500000.000	-0.061
19642500000.000	-0.065
19643500000.000	-0.062
19644500000.000	-0.050
19645500000.000	-0.048
19646500000.000	-0.041
19647500000.000	-0.039
19648500000.000	-0.027
19649500000.000	-0.034
19650500000.000	-0.027
19651500000.000	-0.025
19652500000.000	-0.019
19653500000.000	-0.012
19654500000.000	-0.014
19655500000.000	-0.015
19656500000.000	-0.009
19657500000.000	-0.009
19658500000.000	-0.008
19659500000.000	-0.005
19660500000.000	-0.003
19661500000.000	-0.002
19662500000.000	-0.003
19663500000.000	-0.001
19664500000.000	-0.002
19665500000.000	-0.002
19666500000.000	0.002
19667500000.000	0.002
19668500000.000	0.001
19669500000.000	0.002
19610600000.000	0.001
19611600000.000	0.006
19612600000.000	0.002
19613600000.000	0.004
19614600000.000	0.004
19615600000.000	0.002
19616600000.000	-0.002
19617600000.000	-0.003
19618600000.000	-0.002
19619600000.000	0.001
19620600000.000	0.002
19621600000.000	-0.006
19622600000.000	-0.011
19623600000.000	-0.012
19624600000.000	-0.020
19625600000.000	-0.019
19626600000.000	-0.017
19627600000.000	-0.030
19628600000.000	-0.030
19629600000.000	-0.041
19630600000.000	-0.042
19631600000.000	-0.042
19632600000.000	-0.047
19633600000.000	-0.050
19634600000.000	-0.065
19635600000.000	-0.068
19636600000.000	-0.070
19637600000.000	-0.076
19638600000.000	-0.080
19639600000.000	-0.069
19640600000.000	-0.064
19641600000.000	-0.065
19642600000.000	-0.064
19643600000.000	-0.056
19644600000.000	-0.048
19645600000.000	-0.045
19646600000.000	-0.039
19647600000.000	-0.039
19648600000.000	-0.032
19649600000.000	-0.029
19650600000.000	-0.023
19651600000.000	-0.022
19652600000.000	-0.018
19653600000.000	-0.016
19654600000.000	-0.020
19655600000.000	-0.015
19656600000.000	-0.012
19657600000.000	-0.009
19658600000.000	-0.010
19659600000.000	-0.008
19660600000.000	-0.007
19661600000.000	-0.005
19662600000.000	0.003
19663600000.000	0.002
19664600000.000	0.003
19665600000.000	0.003
19666600000.000	0.002
19667600000.000	0.003
19668600000.000	0.003
19669600000.000	0.005
19610700000.000	0.003
19611700000.000	0.004
19612700000.000	0.003
19613700000.000	0.003
19614700000.000	0.001
19615700000.000	0.003
19616700000.000	-0.002
19617700000.000	-0.008
19618700000.000	-0.006
19619700000.000	-0.002
19620700000.000	-0.006
19621700000.000	-0.009
19622700000.000	-0.010
19623700000.000	-0.011
19624700000.000	-0.020
19625700000.000	-0.030
19626700000.000	-0.028
19627700000.000	-0.032
19628700000.000	-0.037
19629700000.000	-0.043
19630700000.000	-0.046
19631700000.000	-0.053
19632700000.000	-0.049
19633700000.000	-0.057
19634700000.000	-0.064
19635700000.000	-0.068
19636700000.000	-0.064
19637700000.000	-0.070
19638700000.000	-0.072
19639700000.000	-0.079
19640700000.000	-0.070
19641700000.000	-0.065
19642700000.000	-0.066
19643700000.000	-0.055
19644700000.000	-0.054
19645700000.000	-0.053
19646700000.000	-0.054
19647700000.000	-0.044
19648700000.000	-0.039
19649700000.000	-0.036
19650700000.000	-0.031
19651700000.000	-0.033
19652700000.000	-0.031
19653700000.000	-0.022
19654700000.000	-0.015
19655700000.000	-0.018
19656700000.000	-0.016
19657700000.000	-0.012
19658700000.000	-0.009
19659700000.000	-0.008
19660700000.000	-0.011
19661700000.000	-0.006
19662700000.000	-0.006
19663700000.000	-0.004
19664700000.000	-0.003
19665700000.000	-0.004
19666700000.000	0.001
19667700000.000	0.001
19668700000.000	0.007
19669700000.000	0.007
19610800000.000	0.004
19611800000.000	-0.000
19612800000.000	-0.001
19613800000.000	-0.004
19614800000.000	-0.002
19615800000.000	-0.005
19616800000.000	-0.007
19617800000.000	-0.007
19618800000.000	-0.002
19619800000.000	-0.003
19620800000.000	-0.006
19621800000.000	-0.013
19622800000.000	-0.015
19623800000.000	-0.017
19624800000.000	-0.022
19625800000.000	-0.026
19626800000.000	-0.026
19627800000.000	-0.031
19628800000.000	-0.031
19629800000.000	-0.033
19630800000.000	-0.039
19631800000.000	-0.040
19632800000.000	-0.043
19633800000.000	-0.054
19634800000.000	-0.066
19635800000.000	-0.064
19636800000.000	-0.073
19637800000.000	-0.082
19638800000.000	-0.083
19639800000.000	-0.074
19640800000.000	-0.070
19641800000.000	-0.075
19642800000.000	-0.067
19643800000.000	-0.060
19644800000.000	-0.052
19645800000.000	-0.053
19646800000.000	-0.049
19647800000.000	-0.040
19648800000.000	-0.034
19649800000.000	-0.031
19650800000.000	-0.028
19651800000.000	-0.020
19652800000.000	-0.017
19653800000.000	-0.020
19654800000.000	-0.014
19655800000.000	-0.014
19656800000.000	-0.011
19657800000.000	-0.007
19658800000.000	-0.009
19659800000.000	-0.008
19660800000.000	-0.007
19661800000.000	-0.007
19662800000.000	-0.006
19663800000.000	-0.003
19664800000.000	-0.001
19665800000.000	-0.006
19666800000.000	-0.007
19667800000.000	-0.005
19668800000.000	-0.003
19669800000.000	-0.000
19610900000.000	-0.001
19611900000.000	0.003
19612900000.000	0.004
19613900000.000	0.008
19614900000.000	0.004
19615900000.000	0.002
19616900000.000	-0.000
19617900000.000	-0.001
19618900000.000	0.002
19619900000.000	-0.004
19620900000.000	-0.006
19621900000.000	-0.007
19622900000.000	-0.013
19623900000.000	-0.016
19624900000.000	-0.018
19625900000.000	-0.017
19626900000.000	-0.028
19627900000.000	-0.034
19628900000.000	-0.039
19629900000.000	-0.039
19630900000.000	-0.045
19631900000.000	-0.046
19632900000.000	-0.054
19633900000.000	-0.060
19634900000.000	-0.071
19635900000.000	-0.075
19636900000.000	-0.080
19637900000.000	-0.075
19638900000.000	-0.083
19639900000.000	-0.080
19640900000.000	-0.077
19641900000.000	-0.077
19642900000.000	-0.066
19643900000.000	-0.058
19644900000.000	-0.057
19645900000.000	-0.048
19646900000.000	-0.040
19647900000.000	-0.044
19648900000.000	-0.034
19649900000.000	-0.035
19650900000.000	-0.026
19651900000.000	-0.020
19652900000.000	-0.021
19653900000.000	-0.019
19654900000.000	-0.014
19655900000.000	-0.016
19656900000.000	-0.014
19657900000.000	-0.010
19658900000.000	-0.011
19659900000.000	-0.008
19660900000.000	-0.005
19661900000.000	-0.006
19662900000.000	-0.005
19663900000.000	-0.003
19664900000.000	-0.003
19665900000.000	-0.008
19666900000.000	-0.007
19667900000.000	-0.005
19668900000.000	-0.001
19669900000.000	0.000
