# Title: Diode Laser Frequency Scan, Stark Map in 6.6 V/cm.
# Note: Diode Laser Frequency Scan, No MW or Modulation, 40 V Top to Bot. NO WAVELENGTH DATA, JUST TIMING
# Type:	Frequency
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Target:	Full Manifold in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	NaN
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
# Time - Plot 0	Amplitude - Plot 0	
t	v
1187	-0.382279	
1188	-0.393231	
1189	-0.399413	
1190	-0.413423	
1191	-0.422812	
1192	-0.420395	
1193	-0.424982	
1194	-0.429669	
1195	-0.428353	
1196	-0.417369	
1197	-0.402537	
1198	-0.388331	
1199	-0.379188	
1200	-0.362416	
1201	-0.345085	
1202	-0.331996	
1203	-0.314583	
1204	-0.307331	
1205	-0.293338	
1206	-0.28367	
1207	-0.278375	
1208	-0.274363	
1209	-0.270597	
1210	-0.25667	
1211	-0.241871	
1212	-0.228766	
1213	-0.216401	
1214	-0.204463	
1215	-0.202851	
1216	-0.194367	
1217	-0.19065	
1218	-0.186655	
1219	-0.180982	
1220	-0.182906	
1221	-0.181311	
1222	-0.177331	
1223	-0.173237	
1224	-0.167581	
1225	-0.169373	
1226	-0.164687	
1227	-0.158833	
1228	-0.159359	
1229	-0.158307	
1230	-0.155166	
1231	-0.154656	
1232	-0.155002	
1233	-0.153078	
1234	-0.147471	
1235	-0.139479	
1236	-0.15219	
1237	-0.152913	
1238	-0.156301	
1239	-0.165986	
1240	-0.178828	
1241	-0.174816	
1242	-0.178417	
1243	-0.183777	
1244	-0.185142	
1245	-0.188381	
1246	-0.190141	
1247	-0.187148	
1248	-0.193364	
1249	-0.19389	
1250	-0.200747	
1251	-0.20323	
1252	-0.215101	
1253	-0.223931	
1254	-0.233173	
1255	-0.226842	
1256	-0.222764	
1257	-0.225	
1258	-0.217371	
1259	-0.214723	
1260	-0.211698	
1261	-0.204824	
1262	-0.192476	
1263	-0.185339	
1264	-0.174388	
1265	-0.166989	
1266	-0.158685	
1267	-0.152716	
1268	-0.145629	
1269	-0.137901	
1270	-0.13231	
1271	-0.123875	
1272	-0.116886	
1273	-0.114847	
1274	-0.11146	
1275	-0.111345	
1276	-0.11271	
1277	-0.120619	
1278	-0.125881	
1279	-0.128216	
1280	-0.129465	
1281	-0.135237	
1282	-0.135484	
1283	-0.137605	
1284	-0.144774	
1285	-0.150332	
1286	-0.158159	
1287	-0.163453	
1288	-0.171872	
1289	-0.195057	
1290	-0.211616	
1291	-0.238484	
1292	-0.258495	
1293	-0.282535	
1294	-0.309847	
1295	-0.328198	
1296	-0.333295	
1297	-0.340826	
1298	-0.347436	
1299	-0.373499	
1300	-0.392162	
1301	-0.41168	
1302	-0.416021	
1303	-0.422335	
1304	-0.416925	
1305	-0.419671	
1306	-0.415133	
1307	-0.406402	
1308	-0.390172	
1309	-0.375982	
1310	-0.373417	
1311	-0.354392	
1312	-0.3366	
1313	-0.319138	
1314	-0.305161	
1315	-0.296265	
1316	-0.29	
1317	-0.27974	
1318	-0.265648	
1319	-0.254993	
1320	-0.248909	
1321	-0.242249	
1322	-0.231216	
1323	-0.22352	
1324	-0.21788	
