# Scanning the DG535 C output from 1.5 to 3.5 us to characterize where the MW pulse is relative to the Laser Pulses.
# Laser is tuned to 27f in 40 V (6.6 V/cm), slightly blue detuned. MW power shift will push the line red and kill signal.
# Use 18.5105 GHz to the Hittite for Signal, 18.4000 GHz for Reference. Actual Frequencies Doubled by Active Doubler.
# MW Pulsed by mixer, seeing DG 535 pulse from 0-3V, CD on DG535, where D = C + 300 ns.
i	d	b	s	r
176	3.26	0.00967877	0.143283	0.15443	
177	3.27	0.00967877	0.139797	0.165183	
178	3.28	0.00967877	0.153082	0.152983	
179	3.29	0.00967877	0.15716	0.163309	
180	3.3	0.00967877	0.157719	0.157785	
181	3.31	0.00967877	0.156634	0.148544	
182	3.32	0.00967877	0.152096	0.157423	
183	3.33	0.00967877	0.160284	0.154562	
184	3.34	0.00967877	0.146571	0.17689	
185	3.35	0.00967877	0.153543	0.156403	
186	3.36	0.00967877	0.156272	0.173273	
187	3.37	0.00967877	0.162816	0.152063	
188	3.38	0.00967877	0.151241	0.156239	
189	3.39	0.00967877	0.142625	0.145157	
190	3.4	0.00967877	0.148314	0.150714	
191	3.41	0.00967877	0.126446	0.138646	
192	3.42	0.00967877	0.137331	0.134996	
193	3.43	0.00967877	0.127202	0.133878	
194	3.44	0.00967877	0.131181	0.129932	
195	3.45	0.00967877	0.115759	0.123256	
196	3.46	0.00967877	0.11178	0.107604	
197	3.47	0.00967877	0.102244	0.0978372	
198	3.48	0.00967877	0.0946803	0.121251	
199	3.49	0.00967877	0.10323	0.0937596	
200	3.5	0.00967877	0.103888	0.0898793	
