# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4536.000	78547.000	0.113	-0.022	-0.311	0.157
4535.000	78557.000	0.109	-0.022	-0.311	0.157
4534.000	78567.000	0.113	-0.022	-0.311	0.157
4533.000	78577.000	0.091	-0.022	-0.311	0.157
4532.000	78587.000	0.086	-0.022	-0.311	0.157
4531.000	78597.000	0.103	-0.022	-0.311	0.157
4530.000	78607.000	0.091	-0.022	-0.311	0.157
4529.000	78617.000	0.078	-0.022	-0.311	0.157
4528.000	78627.000	0.088	-0.022	-0.311	0.157
4527.000	78637.000	0.087	-0.022	-0.311	0.157
4526.000	78647.000	0.084	-0.022	-0.311	0.157
4525.000	78657.000	0.092	-0.022	-0.311	0.157
4524.000	78667.000	0.101	-0.022	-0.311	0.157
4523.000	78677.000	0.112	-0.022	-0.311	0.157
4522.000	78687.000	0.120	-0.022	-0.311	0.157
4521.000	78697.000	0.137	-0.022	-0.311	0.157
4520.000	78707.000	0.130	-0.022	-0.311	0.157
4519.000	78717.000	0.093	-0.022	-0.311	0.157
4518.000	78727.000	0.088	-0.022	-0.311	0.157
4517.000	78737.000	0.112	-0.022	-0.311	0.157
4516.000	78747.000	0.088	-0.022	-0.311	0.157
4515.000	78757.000	0.077	-0.022	-0.311	0.157
4514.000	78767.000	0.086	-0.022	-0.311	0.157
4513.000	78777.000	0.097	-0.022	-0.311	0.157
4512.000	78787.000	0.089	-0.022	-0.311	0.157
4511.000	78797.000	0.082	-0.022	-0.311	0.157
4510.000	78807.000	0.095	-0.022	-0.311	0.157
4509.000	78817.000	0.089	-0.022	-0.311	0.157
4508.000	78827.000	0.072	-0.022	-0.311	0.157
4507.000	78837.000	0.093	-0.022	-0.311	0.157
4506.000	78847.000	0.091	-0.022	-0.311	0.157
4505.000	78857.000	0.110	-0.022	-0.311	0.157
4504.000	78867.000	0.112	-0.022	-0.311	0.157
4503.000	78877.000	0.103	-0.022	-0.311	0.157
