# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	sb	n	nb
6209.000	69786.000	0.160	-0.009	-0.339	0.164
6208.000	69796.000	0.164	-0.009	-0.339	0.164
6207.000	69806.000	0.153	-0.009	-0.339	0.164
6206.000	69816.000	0.125	-0.009	-0.339	0.164
6205.000	69826.000	0.114	-0.009	-0.339	0.164
6204.000	69836.000	0.138	-0.009	-0.339	0.164
6203.000	69846.000	0.166	-0.009	-0.339	0.164
6202.000	69856.000	0.143	-0.009	-0.339	0.164
6201.000	69866.000	0.154	-0.009	-0.339	0.164
6200.000	69876.000	0.174	-0.009	-0.339	0.164
6199.000	69886.000	0.138	-0.009	-0.339	0.164
6198.000	69896.000	0.135	-0.009	-0.339	0.164
6197.000	69906.000	0.138	-0.009	-0.339	0.164
6196.000	69916.000	0.139	-0.009	-0.339	0.164
6195.000	69926.000	0.124	-0.009	-0.339	0.164
6194.000	69936.000	0.130	-0.009	-0.339	0.164
6193.000	69946.000	0.162	-0.009	-0.339	0.164
6192.000	69956.000	0.154	-0.009	-0.339	0.164
6191.000	69966.000	0.150	-0.009	-0.339	0.164
6190.000	69976.000	0.144	-0.009	-0.339	0.164
6189.000	69986.000	0.148	-0.009	-0.339	0.164
6188.000	69996.000	0.155	-0.009	-0.339	0.164
6187.000	70006.000	0.169	-0.009	-0.339	0.164
6186.000	70016.000	0.162	-0.009	-0.339	0.164
6185.000	70026.000	0.202	-0.009	-0.339	0.164
6184.000	70036.000	0.183	-0.009	-0.339	0.164
6183.000	70046.000	0.193	-0.009	-0.339	0.164
6182.000	70056.000	0.184	-0.009	-0.339	0.164
6181.000	70066.000	0.152	-0.009	-0.339	0.164
6180.000	70076.000	0.165	-0.009	-0.339	0.164
6179.000	70086.000	0.149	-0.009	-0.339	0.164
6178.000	70096.000	0.158	-0.009	-0.339	0.164
6177.000	70106.000	0.128	-0.009	-0.339	0.164
6176.000	70116.000	0.133	-0.009	-0.339	0.164
6175.000	70126.000	0.157	-0.009	-0.339	0.164
6174.000	70136.000	0.141	-0.009	-0.339	0.164
6173.000	70146.000	0.138	-0.009	-0.339	0.164
6172.000	70156.000	0.157	-0.009	-0.339	0.164
6171.000	70166.000	0.154	-0.009	-0.339	0.164
6170.000	70176.000	0.158	-0.009	-0.339	0.164
6169.000	70186.000	0.155	-0.009	-0.339	0.164
6168.000	70196.000	0.145	-0.009	-0.339	0.164
6167.000	70206.000	0.164	-0.009	-0.339	0.164
6166.000	70216.000	0.148	-0.009	-0.339	0.164
6165.000	70226.000	0.124	-0.009	-0.339	0.164
6164.000	70236.000	0.146	-0.009	-0.339	0.164
6163.000	70246.000	0.168	-0.009	-0.339	0.164
6162.000	70256.000	0.172	-0.009	-0.339	0.164
6161.000	70266.000	0.173	-0.009	-0.339	0.164
6160.000	70276.000	0.178	-0.009	-0.339	0.164
6159.000	70286.000	0.177	-0.009	-0.339	0.164
6158.000	70296.000	0.161	-0.009	-0.339	0.164
6157.000	70306.000	0.168	-0.009	-0.339	0.164
6156.000	70316.000	0.167	-0.009	-0.339	0.164
6155.000	70326.000	0.181	-0.009	-0.339	0.164
6154.000	70336.000	0.166	-0.009	-0.339	0.164
6153.000	70346.000	0.142	-0.009	-0.339	0.164
6152.000	70356.000	0.161	-0.009	-0.339	0.164
6151.000	70366.000	0.162	-0.009	-0.339	0.164
6150.000	70376.000	0.168	-0.009	-0.339	0.164
6149.000	70386.000	0.158	-0.009	-0.339	0.164
6148.000	70396.000	0.188	-0.009	-0.339	0.164
6147.000	70406.000	0.173	-0.009	-0.339	0.164
6146.000	70416.000	0.158	-0.009	-0.339	0.164
6145.000	70426.000	0.179	-0.009	-0.339	0.164
6144.000	70436.000	0.163	-0.009	-0.339	0.164
6143.000	70446.000	0.180	-0.009	-0.339	0.164
6142.000	70456.000	0.166	-0.009	-0.339	0.164
6141.000	70466.000	0.155	-0.009	-0.339	0.164
6140.000	70476.000	0.158	-0.009	-0.339	0.164
6139.000	70486.000	0.152	-0.009	-0.339	0.164
6138.000	70496.000	0.153	-0.009	-0.339	0.164
6137.000	70506.000	0.153	-0.009	-0.339	0.164
6136.000	70516.000	0.158	-0.009	-0.339	0.164
6135.000	70526.000	0.152	-0.009	-0.339	0.164
6134.000	70536.000	0.185	-0.009	-0.339	0.164
6133.000	70546.000	0.152	-0.009	-0.339	0.164
6132.000	70556.000	0.168	-0.009	-0.339	0.164
6131.000	70566.000	0.191	-0.009	-0.339	0.164
6130.000	70576.000	0.178	-0.009	-0.339	0.164
6129.000	70586.000	0.183	-0.009	-0.339	0.164
6128.000	70596.000	0.190	-0.009	-0.339	0.164
6127.000	70606.000	0.181	-0.009	-0.339	0.164
6126.000	70616.000	0.176	-0.009	-0.339	0.164
6125.000	70626.000	0.171	-0.009	-0.339	0.164
6124.000	70636.000	0.165	-0.009	-0.339	0.164
6123.000	70646.000	0.127	-0.009	-0.339	0.164
6122.000	70656.000	0.141	-0.009	-0.339	0.164
6121.000	70666.000	0.141	-0.009	-0.339	0.164
6120.000	70676.000	0.152	-0.009	-0.339	0.164
6119.000	70686.000	0.169	-0.009	-0.339	0.164
6118.000	70696.000	0.161	-0.009	-0.339	0.164
6117.000	70706.000	0.172	-0.009	-0.339	0.164
6116.000	70716.000	0.220	-0.009	-0.339	0.164
6115.000	70726.000	0.173	-0.009	-0.339	0.164
6114.000	70736.000	0.186	-0.009	-0.339	0.164
6113.000	70746.000	0.185	-0.009	-0.339	0.164
6112.000	70756.000	0.189	-0.009	-0.339	0.164
6111.000	70766.000	0.182	-0.009	-0.339	0.164
6110.000	70776.000	0.197	-0.009	-0.339	0.164
6109.000	70786.000	0.190	-0.009	-0.339	0.164
6108.000	70796.000	0.169	-0.009	-0.339	0.164
6107.000	70806.000	0.168	-0.009	-0.339	0.164
6106.000	70816.000	0.127	-0.009	-0.339	0.164
6105.000	70826.000	0.130	-0.009	-0.339	0.164
6104.000	70836.000	0.127	-0.009	-0.339	0.164
6103.000	70846.000	0.129	-0.009	-0.339	0.164
6102.000	70856.000	0.145	-0.009	-0.339	0.164
6101.000	70866.000	0.147	-0.009	-0.339	0.164
6100.000	70876.000	0.150	-0.009	-0.339	0.164
6099.000	70886.000	0.156	-0.009	-0.339	0.164
6098.000	70896.000	0.172	-0.009	-0.339	0.164
