# Delay scan
# MW at 19 dB, 18.5140 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
# Norm:	-0.321996
# NB:	
i	d	s	b
6155.000	70326.000	0.120	-0.031
6154.000	70336.000	0.130	-0.031
6153.000	70346.000	0.099	-0.031
6152.000	70356.000	0.109	-0.031
6151.000	70366.000	0.111	-0.031
6150.000	70376.000	0.128	-0.031
6149.000	70386.000	0.137	-0.031
6148.000	70396.000	0.145	-0.031
6147.000	70406.000	0.124	-0.031
6146.000	70416.000	0.104	-0.031
6145.000	70426.000	0.097	-0.031
6144.000	70436.000	0.116	-0.031
6143.000	70446.000	0.097	-0.031
6142.000	70456.000	0.097	-0.031
6141.000	70466.000	0.106	-0.031
6140.000	70476.000	0.095	-0.031
6139.000	70486.000	0.098	-0.031
6138.000	70496.000	0.083	-0.031
6137.000	70506.000	0.109	-0.031
6136.000	70516.000	0.118	-0.031
6135.000	70526.000	0.111	-0.031
6134.000	70536.000	0.142	-0.031
6133.000	70546.000	0.135	-0.031
6132.000	70556.000	0.132	-0.031
6131.000	70566.000	0.121	-0.031
6130.000	70576.000	0.149	-0.031
6129.000	70586.000	0.153	-0.031
6128.000	70596.000	0.138	-0.031
6127.000	70606.000	0.152	-0.031
6126.000	70616.000	0.129	-0.031
6125.000	70626.000	0.093	-0.031
6124.000	70636.000	0.097	-0.031
6123.000	70646.000	0.135	-0.031
6122.000	70656.000	0.130	-0.031
6121.000	70666.000	0.116	-0.031
6120.000	70676.000	0.138	-0.031
6119.000	70686.000	0.134	-0.031
6118.000	70696.000	0.122	-0.031
6117.000	70706.000	0.144	-0.031
6116.000	70716.000	0.130	-0.031
6115.000	70726.000	0.133	-0.031
6114.000	70736.000	0.117	-0.031
6113.000	70746.000	0.114	-0.031
6112.000	70756.000	0.127	-0.031
6111.000	70766.000	0.136	-0.031
6110.000	70776.000	0.115	-0.031
6109.000	70786.000	0.111	-0.031
6108.000	70796.000	0.123	-0.031
6107.000	70806.000	0.122	-0.031
6106.000	70816.000	0.125	-0.031
6105.000	70826.000	0.132	-0.031
6104.000	70836.000	0.118	-0.031
6103.000	70846.000	0.115	-0.031
6102.000	70856.000	0.132	-0.031
6101.000	70866.000	0.125	-0.031
6100.000	70876.000	0.111	-0.031
6099.000	70886.000	0.125	-0.031
6098.000	70896.000	0.143	-0.031
6097.000	70906.000	0.164	-0.031
6096.000	70916.000	0.177	-0.031
6095.000	70926.000	0.146	-0.031
6094.000	70936.000	0.116	-0.031
6093.000	70946.000	0.099	-0.031
6092.000	70956.000	0.128	-0.031
6091.000	70966.000	0.109	-0.031
6090.000	70976.000	0.105	-0.031
6089.000	70986.000	0.106	-0.031
6088.000	70996.000	0.138	-0.031
6087.000	71006.000	0.118	-0.031
6086.000	71016.000	0.152	-0.031
6085.000	71026.000	0.164	-0.031
6084.000	71036.000	0.137	-0.031
6083.000	71046.000	0.120	-0.031
6082.000	71056.000	0.144	-0.031
6081.000	71066.000	0.127	-0.031
6080.000	71076.000	0.138	-0.031
6079.000	71086.000	0.156	-0.031
6078.000	71096.000	0.147	-0.031
6077.000	71106.000	0.163	-0.031
6076.000	71116.000	0.152	-0.031
6075.000	71126.000	0.133	-0.031
6074.000	71136.000	0.120	-0.031
6073.000	71146.000	0.164	-0.031
6072.000	71156.000	0.173	-0.031
6071.000	71166.000	0.161	-0.031
6070.000	71176.000	0.142	-0.031
6069.000	71186.000	0.157	-0.031
6068.000	71196.000	0.120	-0.031
6067.000	71206.000	0.114	-0.031
6066.000	71216.000	0.119	-0.031
6065.000	71226.000	0.136	-0.031
6064.000	71236.000	0.117	-0.031
6063.000	71246.000	0.107	-0.031
6062.000	71256.000	0.086	-0.031
6061.000	71266.000	0.118	-0.031
6060.000	71276.000	0.127	-0.031
6059.000	71286.000	0.151	-0.031
6058.000	71296.000	0.153	-0.031
6057.000	71306.000	0.156	-0.031
6056.000	71316.000	0.157	-0.031
6055.000	71326.000	0.163	-0.031
6054.000	71336.000	0.157	-0.031
6053.000	71346.000	0.148	-0.031
6052.000	71356.000	0.149	-0.031
6051.000	71366.000	0.137	-0.031
6050.000	71376.000	0.120	-0.031
6049.000	71386.000	0.135	-0.031
6048.000	71396.000	0.164	-0.031
6047.000	71406.000	0.176	-0.031
6046.000	71416.000	0.150	-0.031
6045.000	71426.000	0.142	-0.031
6044.000	71436.000	0.152	-0.031
6043.000	71446.000	0.134	-0.031
6042.000	71456.000	0.137	-0.031
6041.000	71466.000	0.156	-0.031
6040.000	71476.000	0.124	-0.031
6039.000	71486.000	0.135	-0.031
6038.000	71496.000	0.134	-0.031
6037.000	71506.000	0.136	-0.031
6036.000	71516.000	0.176	-0.031
6035.000	71526.000	0.146	-0.031
6034.000	71536.000	0.138	-0.031
6033.000	71546.000	0.139	-0.031
6032.000	71556.000	0.110	-0.031
6031.000	71566.000	0.096	-0.031
6030.000	71576.000	0.113	-0.031
6029.000	71586.000	0.146	-0.031
6028.000	71596.000	0.135	-0.031
6027.000	71606.000	0.152	-0.031
6026.000	71616.000	0.192	-0.031
6025.000	71626.000	0.176	-0.031
6024.000	71636.000	0.160	-0.031
6023.000	71646.000	0.169	-0.031
6022.000	71656.000	0.162	-0.031
6021.000	71666.000	0.134	-0.031
6020.000	71676.000	0.155	-0.031
6019.000	71686.000	0.151	-0.031
6018.000	71696.000	0.154	-0.031
6017.000	71706.000	0.151	-0.031
6016.000	71716.000	0.147	-0.031
6015.000	71726.000	0.166	-0.031
6014.000	71736.000	0.156	-0.031
6013.000	71746.000	0.152	-0.031
6012.000	71756.000	0.174	-0.031
6011.000	71766.000	0.193	-0.031
6010.000	71776.000	0.155	-0.031
6009.000	71786.000	0.132	-0.031
6008.000	71796.000	0.122	-0.031
6007.000	71806.000	0.141	-0.031
6006.000	71816.000	0.189	-0.031
6005.000	71826.000	0.185	-0.031
6004.000	71836.000	0.151	-0.031
6003.000	71846.000	0.165	-0.031
6002.000	71856.000	0.149	-0.031
6001.000	71866.000	0.190	-0.031
6000.000	71876.000	0.149	-0.031
5999.000	71886.000	0.148	-0.031
5998.000	71896.000	0.151	-0.031
5997.000	71906.000	0.168	-0.031
5996.000	71916.000	0.150	-0.031
5995.000	71926.000	0.172	-0.031
5994.000	71936.000	0.177	-0.031
5993.000	71946.000	0.209	-0.031
5992.000	71956.000	0.181	-0.031
5991.000	71966.000	0.174	-0.031
5990.000	71976.000	0.169	-0.031
5989.000	71986.000	0.162	-0.031
5988.000	71996.000	0.167	-0.031
5987.000	72006.000	0.160	-0.031
5986.000	72016.000	0.181	-0.031
5985.000	72026.000	0.135	-0.031
5984.000	72036.000	0.188	-0.031
5983.000	72046.000	0.184	-0.031
5982.000	72056.000	0.159	-0.031
5981.000	72066.000	0.164	-0.031
5980.000	72076.000	0.177	-0.031
5979.000	72086.000	0.195	-0.031
5978.000	72096.000	0.194	-0.031
5977.000	72106.000	0.177	-0.031
5976.000	72116.000	0.198	-0.031
5975.000	72126.000	0.187	-0.031
5974.000	72136.000	0.162	-0.031
5973.000	72146.000	0.161	-0.031
5972.000	72156.000	0.158	-0.031
5971.000	72166.000	0.125	-0.031
5970.000	72176.000	0.135	-0.031
5969.000	72186.000	0.147	-0.031
5968.000	72196.000	0.154	-0.031
5967.000	72206.000	0.143	-0.031
5966.000	72216.000	0.169	-0.031
5965.000	72226.000	0.187	-0.031
5964.000	72236.000	0.194	-0.031
5963.000	72246.000	0.169	-0.031
5962.000	72256.000	0.144	-0.031
5961.000	72266.000	0.150	-0.031
5960.000	72276.000	0.126	-0.031
5959.000	72286.000	0.119	-0.031
5958.000	72296.000	0.169	-0.031
5957.000	72306.000	0.188	-0.031
5956.000	72316.000	0.161	-0.031
5955.000	72326.000	0.173	-0.031
5954.000	72336.000	0.165	-0.031
5953.000	72346.000	0.187	-0.031
5952.000	72356.000	0.176	-0.031
5951.000	72366.000	0.172	-0.031
5950.000	72376.000	0.170	-0.031
5949.000	72386.000	0.183	-0.031
5948.000	72396.000	0.193	-0.031
5947.000	72406.000	0.197	-0.031
5946.000	72416.000	0.148	-0.031
5945.000	72426.000	0.134	-0.031
5944.000	72436.000	0.151	-0.031
5943.000	72446.000	0.156	-0.031
5942.000	72456.000	0.159	-0.031
5941.000	72466.000	0.157	-0.031
5940.000	72476.000	0.168	-0.031
5939.000	72486.000	0.176	-0.031
5938.000	72496.000	0.171	-0.031
5937.000	72506.000	0.174	-0.031
5936.000	72516.000	0.150	-0.031
5935.000	72526.000	0.166	-0.031
5934.000	72536.000	0.179	-0.031
5933.000	72546.000	0.170	-0.031
5932.000	72556.000	0.142	-0.031
5931.000	72566.000	0.182	-0.031
5930.000	72576.000	0.157	-0.031
5929.000	72586.000	0.152	-0.031
5928.000	72596.000	0.171	-0.031
5927.000	72606.000	0.160	-0.031
5926.000	72616.000	0.172	-0.031
5925.000	72626.000	0.145	-0.031
5924.000	72636.000	0.159	-0.031
5923.000	72646.000	0.196	-0.031
5922.000	72656.000	0.179	-0.031
5921.000	72666.000	0.160	-0.031
5920.000	72676.000	0.204	-0.031
5919.000	72686.000	0.184	-0.031
5918.000	72696.000	0.164	-0.031
5917.000	72706.000	0.171	-0.031
5916.000	72716.000	0.161	-0.031
5915.000	72726.000	0.180	-0.031
5914.000	72736.000	0.182	-0.031
5913.000	72746.000	0.142	-0.031
5912.000	72756.000	0.161	-0.031
5911.000	72766.000	0.165	-0.031
5910.000	72776.000	0.176	-0.031
5909.000	72786.000	0.175	-0.031
5908.000	72796.000	0.152	-0.031
5907.000	72806.000	0.133	-0.031
5906.000	72816.000	0.109	-0.031
5905.000	72826.000	0.145	-0.031
5904.000	72836.000	0.140	-0.031
5903.000	72846.000	0.158	-0.031
5902.000	72856.000	0.151	-0.031
5901.000	72866.000	0.183	-0.031
5900.000	72876.000	0.166	-0.031
5899.000	72886.000	0.153	-0.031
5898.000	72896.000	0.161	-0.031
5897.000	72906.000	0.181	-0.031
5896.000	72916.000	0.202	-0.031
5895.000	72926.000	0.196	-0.031
5894.000	72936.000	0.196	-0.031
5893.000	72946.000	0.188	-0.031
5892.000	72956.000	0.185	-0.031
5891.000	72966.000	0.160	-0.031
5890.000	72976.000	0.183	-0.031
5889.000	72986.000	0.182	-0.031
5888.000	72996.000	0.174	-0.031
5887.000	73006.000	0.188	-0.031
5886.000	73016.000	0.206	-0.031
5885.000	73026.000	0.193	-0.031
5884.000	73036.000	0.195	-0.031
5883.000	73046.000	0.203	-0.031
5882.000	73056.000	0.176	-0.031
5881.000	73066.000	0.173	-0.031
5880.000	73076.000	0.151	-0.031
5879.000	73086.000	0.148	-0.031
5878.000	73096.000	0.164	-0.031
5877.000	73106.000	0.182	-0.031
5876.000	73116.000	0.170	-0.031
5875.000	73126.000	0.189	-0.031
5874.000	73136.000	0.184	-0.031
5873.000	73146.000	0.184	-0.031
5872.000	73156.000	0.148	-0.031
5871.000	73166.000	0.114	-0.031
5870.000	73176.000	0.149	-0.031
5869.000	73186.000	0.149	-0.031
5868.000	73196.000	0.181	-0.031
5867.000	73206.000	0.192	-0.031
5866.000	73216.000	0.205	-0.031
5865.000	73226.000	0.182	-0.031
5864.000	73236.000	0.167	-0.031
5863.000	73246.000	0.167	-0.031
5862.000	73256.000	0.176	-0.031
5861.000	73266.000	0.178	-0.031
5860.000	73276.000	0.174	-0.031
5859.000	73286.000	0.182	-0.031
5858.000	73296.000	0.190	-0.031
5857.000	73306.000	0.157	-0.031
5856.000	73316.000	0.150	-0.031
5855.000	73326.000	0.165	-0.031
5854.000	73336.000	0.178	-0.031
5853.000	73346.000	0.196	-0.031
5852.000	73356.000	0.185	-0.031
5851.000	73366.000	0.177	-0.031
5850.000	73376.000	0.180	-0.031
5849.000	73386.000	0.220	-0.031
5848.000	73396.000	0.200	-0.031
5847.000	73406.000	0.180	-0.031
5846.000	73416.000	0.194	-0.031
5845.000	73426.000	0.202	-0.031
5844.000	73436.000	0.179	-0.031
5843.000	73446.000	0.148	-0.031
5842.000	73456.000	0.156	-0.031
5841.000	73466.000	0.137	-0.031
5840.000	73476.000	0.158	-0.031
5839.000	73486.000	0.166	-0.031
5838.000	73496.000	0.171	-0.031
5837.000	73506.000	0.205	-0.031
5836.000	73516.000	0.224	-0.031
5835.000	73526.000	0.221	-0.031
5834.000	73536.000	0.174	-0.031
