# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18512.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
180	-75.62	0.0890851	0.0528504	0.176265	0.037635	
181	-76.42	0.0890851	0.0528504	0.179126	0.037635	
182	-77.12	0.0890851	0.0528504	0.174654	0.037635	
183	-77.82	0.0890851	0.0528504	0.170346	0.037635	
184	-78.82	0.0890851	0.0528504	0.167321	0.037635	
185	-79.52	0.0890851	0.0528504	0.177153	0.037635	
186	-80.42	0.0890851	0.0528504	0.187281	0.037635	
187	-81.02	0.0890851	0.0528504	0.176397	0.037635	
188	-82.02	0.0890851	0.0528504	0.181987	0.037635	
189	-82.82	0.0890851	0.0528504	0.182513	0.037635	
190	-83.42	0.0890851	0.0528504	0.183072	0.037635	
191	-84.02	0.0890851	0.0528504	0.172155	0.037635	
192	-84.92	0.0890851	0.0528504	0.181395	0.037635	
193	-85.82	0.0890851	0.0528504	0.177975	0.037635	
194	-86.42	0.0890851	0.0528504	0.165677	0.037635	
195	-87.02	0.0890851	0.0528504	0.157686	0.037635	
196	-88.32	0.0890851	0.0528504	0.17472	0.037635	
197	-88.92	0.0890851	0.0528504	0.183796	0.037635	
198	-89.62	0.0890851	0.0528504	0.178337	0.037635	
199	-90.12	0.0890851	0.0528504	0.166071	0.037635	
200	-91.02	0.0890851	0.0528504	0.168505	0.037635	
201	-91.52	0.0890851	0.0528504	0.183401	0.037635	
202	-92.52	0.0890851	0.0528504	0.177909	0.037635	
203	-93.02	0.0890851	0.0528504	0.176035	0.037635	
204	-93.32	0.0890851	0.0528504	0.179455	0.037635	
205	-94.72	0.0890851	0.0528504	0.1762	0.037635	
206	-95.52	0.0890851	0.0528504	0.155746	0.037635	
207	-96.62	0.0890851	0.0528504	0.166006	0.037635	
208	-97.72	0.0890851	0.0528504	0.175772	0.037635	
209	-98.42	0.0890851	0.0528504	0.173733	0.037635	
210	-99.52	0.0890851	0.0528504	0.164493	0.037635	
211	-100.62	0.0890851	0.0528504	0.164887	0.037635	
212	-101.62	0.0890851	0.0528504	0.16663	0.037635	
213	-102.72	0.0890851	0.0528504	0.17301	0.037635	
214	-103.52	0.0890851	0.0528504	0.163605	0.037635	
215	-104.32	0.0890851	0.0528504	0.172944	0.037635	
216	-105.62	0.0890851	0.0528504	0.16834	0.037635	
217	-106.32	0.0890851	0.0528504	0.169787	0.037635	
218	-107.42	0.0890851	0.0528504	0.168834	0.037635	
219	-107.62	0.0890851	0.0528504	0.172812	0.037635	
220	-109.12	0.0890851	0.0528504	0.167518	0.037635	
221	-109.92	0.0890851	0.0528504	0.162355	0.037635	
222	-110.72	0.0890851	0.0528504	0.16275	0.037635	
223	-111.72	0.0890851	0.0528504	0.161599	0.037635	
224	-112.72	0.0890851	0.0528504	0.163079	0.037635	
225	-113.42	0.0890851	0.0528504	0.17005	0.037635	
226	-113.62	0.0890851	0.0528504	0.169294	0.037635	
227	-115.42	0.0890851	0.0528504	0.155154	0.037635	
228	-115.82	0.0890851	0.0528504	0.170774	0.037635	
229	-116.72	0.0890851	0.0528504	0.174029	0.037635	
230	-117.22	0.0890851	0.0528504	0.162783	0.037635	
231	-118.12	0.0890851	0.0528504	0.165019	0.037635	
232	-119.12	0.0890851	0.0528504	0.167979	0.037635	
233	-119.72	0.0890851	0.0528504	0.169097	0.037635	
234	-120.22	0.0890851	0.0528504	0.161533	0.037635	
235	-121.02	0.0890851	0.0528504	0.168702	0.037635	
236	-122.32	0.0890851	0.0528504	0.170017	0.037635	
237	-122.72	0.0890851	0.0528504	0.155581	0.037635	
238	-123.42	0.0890851	0.0528504	0.164822	0.037635	
239	-124.42	0.0890851	0.0528504	0.177942	0.037635	
240	-125.12	0.0890851	0.0528504	0.158738	0.037635	
241	-125.82	0.0890851	0.0528504	0.158113	0.037635	
242	-126.92	0.0890851	0.0528504	0.162849	0.037635	
243	-127.82	0.0890851	0.0528504	0.165183	0.037635	
244	-128.42	0.0890851	0.0528504	0.16686	0.037635	
245	-129.32	0.0890851	0.0528504	0.164394	0.037635	
246	-130.32	0.0890851	0.0528504	0.155022	0.037635	
247	-131.22	0.0890851	0.0528504	0.159988	0.037635	
248	-132.02	0.0890851	0.0528504	0.155055	0.037635	
249	-132.72	0.0890851	0.0528504	0.155976	0.037635	
250	-133.82	0.0890851	0.0528504	0.164032	0.037635	
251	-134.52	0.0890851	0.0528504	0.167584	0.037635	
252	-135.52	0.0890851	0.0528504	0.157719	0.037635	
253	-136.22	0.0890851	0.0528504	0.164131	0.037635	
254	-137.22	0.0890851	0.0528504	0.160415	0.037635	
255	-137.82	0.0890851	0.0528504	0.161369	0.037635	
256	-138.82	0.0890851	0.0528504	0.149037	0.037635	
257	-139.82	0.0890851	0.0528504	0.163112	0.037635	
258	-140.52	0.0890851	0.0528504	0.16321	0.037635	
259	-141.22	0.0890851	0.0528504	0.165315	0.037635	
260	-142.22	0.0890851	0.0528504	0.16469	0.037635	
261	-143.02	0.0890851	0.0528504	0.156897	0.037635	
262	-144.02	0.0890851	0.0528504	0.172648	0.037635	
263	-144.72	0.0890851	0.0528504	0.164263	0.037635	
264	-145.82	0.0890851	0.0528504	0.173667	0.037635	
265	-146.52	0.0890851	0.0528504	0.168866	0.037635	
266	-147.32	0.0890851	0.0528504	0.154102	0.037635	
267	-148.02	0.0890851	0.0528504	0.18498	0.037635	
268	-149.02	0.0890851	0.0528504	0.158541	0.037635	
269	-149.72	0.0890851	0.0528504	0.163375	0.037635	
270	-150.42	0.0890851	0.0528504	0.159758	0.037635	
271	-151.02	0.0890851	0.0528504	0.185835	0.037635	
272	-151.92	0.0890851	0.0528504	0.166038	0.037635	
273	-152.62	0.0890851	0.0528504	0.176594	0.037635	
274	-153.32	0.0890851	0.0528504	0.16275	0.037635	
275	-154.02	0.0890851	0.0528504	0.161829	0.037635	
276	-155.02	0.0890851	0.0528504	0.159067	0.037635	
277	-155.82	0.0890851	0.0528504	0.158508	0.037635	
278	-156.52	0.0890851	0.0528504	0.174095	0.037635	
279	-157.12	0.0890851	0.0528504	0.150583	0.037635	
280	-158.22	0.0890851	0.0528504	0.164	0.037635	
281	-158.82	0.0890851	0.0528504	0.158771	0.037635	
282	-159.62	0.0890851	0.0528504	0.164065	0.037635	
283	-160.62	0.0890851	0.0528504	0.175443	0.037635	
284	-161.42	0.0890851	0.0528504	0.155384	0.037635	
285	-162.02	0.0890851	0.0528504	0.167715	0.037635	
286	-162.82	0.0890851	0.0528504	0.169721	0.037635	
287	-163.72	0.0890851	0.0528504	0.161007	0.037635	
288	-164.72	0.0890851	0.0528504	0.165512	0.037635	
289	-165.22	0.0890851	0.0528504	0.16686	0.037635	
290	-165.92	0.0890851	0.0528504	0.165315	0.037635	
291	-166.72	0.0890851	0.0528504	0.175805	0.037635	
292	-167.52	0.0890851	0.0528504	0.169425	0.037635	
293	-168.22	0.0890851	0.0528504	0.174983	0.037635	
294	-169.02	0.0890851	0.0528504	0.162651	0.037635	
295	-169.72	0.0890851	0.0528504	0.155647	0.037635	
296	-170.52	0.0890851	0.0528504	0.163934	0.037635	
297	-171.32	0.0890851	0.0528504	0.169952	0.037635	
298	-172.22	0.0890851	0.0528504	0.166071	0.037635	
299	-173.22	0.0890851	0.0528504	0.171234	0.037635	
300	-174.02	0.0890851	0.0528504	0.151701	0.037635	
301	-174.82	0.0890851	0.0528504	0.159231	0.037635	
302	-175.72	0.0890851	0.0528504	0.160086	0.037635	
303	-177.12	0.0890851	0.0528504	0.160777	0.037635	
304	-178.52	0.0890851	0.0528504	0.150945	0.037635	
305	-179.42	0.0890851	0.0528504	0.163375	0.037635	
306	-180.32	0.0890851	0.0528504	0.180672	0.037635	
307	-181.72	0.0890851	0.0528504	0.158015	0.037635	
