# Title:	Delay with 18 V static at n=27, 10 dB on MW Attn, AM = 1.4.
# Note:	Delay scan at n=27 with +9 V Bot, -9 V Top applied static field. 10 dB on MW Attn, 31.5 dB on PM Attn, PM = 1.4. Low-frequency Stark state of 3d3/2 -> 27f targeted.
# Type:	Delay
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361361.2 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	31.5 dB
# MW Attn:	10.5 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-90 mV
# Static:	+9 V Bot, -9V Top
# Static Off:	NaN
i	d	n	nb	s	sb
148.000	148667.000	1.000	0.000	0.065	-0.016
149.000	149333.000	1.000	0.000	0.078	-0.016
150.000	150000.000	1.000	0.000	0.062	-0.016
151.000	149500.000	1.000	0.000	0.071	-0.016
152.000	148833.000	1.000	0.000	0.075	-0.016
153.000	148167.000	1.000	0.000	0.071	-0.016
154.000	147500.000	1.000	0.000	0.081	-0.016
155.000	146833.000	1.000	0.000	0.082	-0.016
156.000	146167.000	1.000	0.000	0.078	-0.016
157.000	145500.000	1.000	0.000	0.080	-0.016
158.000	144833.000	1.000	0.000	0.084	-0.016
159.000	144167.000	1.000	0.000	0.077	-0.016
160.000	143500.000	1.000	0.000	0.072	-0.016
161.000	142833.000	1.000	0.000	0.067	-0.016
162.000	142167.000	1.000	0.000	0.067	-0.016
163.000	141500.000	1.000	0.000	0.063	-0.016
164.000	140833.000	1.000	0.000	0.066	-0.016
165.000	140167.000	1.000	0.000	0.059	-0.016
166.000	139500.000	1.000	0.000	0.051	-0.016
167.000	138833.000	1.000	0.000	0.063	-0.016
168.000	138167.000	1.000	0.000	0.053	-0.016
169.000	137500.000	1.000	0.000	0.056	-0.016
170.000	136833.000	1.000	0.000	0.046	-0.016
171.000	136167.000	1.000	0.000	0.059	-0.016
172.000	135500.000	1.000	0.000	0.048	-0.016
173.000	134833.000	1.000	0.000	0.062	-0.016
174.000	134167.000	1.000	0.000	0.077	-0.016
175.000	133500.000	1.000	0.000	0.073	-0.016
