# Delay scan
# PM at 1.4 (35 dB)
# MW at 19 dB, 18.5094 GHzs, 18.6 dBm
# 0 Resonance
# Laser at 365859.0 GHz
# Static at 0 mV
# No Mod:	0.0842561
# No Mod No MW:	0.104052
i	d	n	nb	s	sb
172.000	76015.000	0.460	-0.053	0.065	-0.004
173.000	74943.000	0.460	-0.053	0.056	-0.004
174.000	73871.000	0.460	-0.053	0.069	-0.004
175.000	72799.000	0.460	-0.053	0.077	-0.004
176.000	71727.000	0.460	-0.053	0.092	-0.004
177.000	70655.000	0.460	-0.053	0.077	-0.004
178.000	69583.000	0.460	-0.053	0.087	-0.004
179.000	68511.000	0.460	-0.053	0.064	-0.004
180.000	67439.000	0.460	-0.053	0.045	-0.004
181.000	66367.000	0.460	-0.053	0.056	-0.004
182.000	65296.000	0.460	-0.053	0.087	-0.004
183.000	64224.000	0.460	-0.053	0.082	-0.004
184.000	63152.000	0.460	-0.053	0.081	-0.004
185.000	62080.000	0.460	-0.053	0.081	-0.004
186.000	61008.000	0.460	-0.053	0.093	-0.004
187.000	59936.000	0.460	-0.053	0.068	-0.004
188.000	58864.000	0.460	-0.053	0.076	-0.004
189.000	57792.000	0.460	-0.053	0.065	-0.004
190.000	56720.000	0.460	-0.053	0.077	-0.004
191.000	55648.000	0.460	-0.053	0.079	-0.004
192.000	54576.000	0.460	-0.053	0.086	-0.004
193.000	53504.000	0.460	-0.053	0.085	-0.004
194.000	52432.000	0.460	-0.053	0.061	-0.004
195.000	51360.000	0.460	-0.053	0.067	-0.004
196.000	50288.000	0.460	-0.053	0.064	-0.004
197.000	49216.000	0.460	-0.053	0.090	-0.004
198.000	48144.000	0.460	-0.053	0.081	-0.004
199.000	47072.000	0.460	-0.053	0.089	-0.004
200.000	47340.000	0.460	-0.053	0.081	-0.004
201.000	48412.000	0.460	-0.053	0.080	-0.004
202.000	49484.000	0.460	-0.053	0.070	-0.004
203.000	50556.000	0.460	-0.053	0.061	-0.004
204.000	51628.000	0.460	-0.053	0.074	-0.004
205.000	52700.000	0.460	-0.053	0.081	-0.004
206.000	53772.000	0.460	-0.053	0.074	-0.004
207.000	54844.000	0.460	-0.053	0.084	-0.004
208.000	55916.000	0.460	-0.053	0.088	-0.004
209.000	56988.000	0.460	-0.053	0.081	-0.004
210.000	58060.000	0.460	-0.053	0.051	-0.004
211.000	59132.000	0.460	-0.053	0.065	-0.004
212.000	60204.000	0.460	-0.053	0.064	-0.004
213.000	61276.000	0.460	-0.053	0.075	-0.004
214.000	62348.000	0.460	-0.053	0.083	-0.004
215.000	63420.000	0.460	-0.053	0.094	-0.004
216.000	64492.000	0.460	-0.053	0.073	-0.004
217.000	65564.000	0.460	-0.053	0.054	-0.004
218.000	66635.000	0.460	-0.053	0.066	-0.004
219.000	67707.000	0.460	-0.053	0.074	-0.004
220.000	68779.000	0.460	-0.053	0.080	-0.004
221.000	69851.000	0.460	-0.053	0.090	-0.004
222.000	70923.000	0.460	-0.053	0.088	-0.004
223.000	71995.000	0.460	-0.053	0.087	-0.004
224.000	73067.000	0.460	-0.053	0.059	-0.004
225.000	74139.000	0.460	-0.053	0.062	-0.004
226.000	75211.000	0.460	-0.053	0.059	-0.004
227.000	76283.000	0.460	-0.053	0.076	-0.004
228.000	77355.000	0.460	-0.053	0.074	-0.004
229.000	78427.000	0.460	-0.053	0.088	-0.004
230.000	79499.000	0.460	-0.053	0.089	-0.004
231.000	80571.000	0.460	-0.053	0.091	-0.004
232.000	81643.000	0.460	-0.053	0.052	-0.004
233.000	82715.000	0.460	-0.053	0.068	-0.004
234.000	83787.000	0.460	-0.053	0.067	-0.004
235.000	84859.000	0.460	-0.053	0.079	-0.004
236.000	85931.000	0.460	-0.053	0.099	-0.004
