# Title: Dye Laser Frequency Scan, MW -20 dB, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW at -20 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	20.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
410.000	-4536.220	1.000	0.000	0.059	0.033
411.000	-4536.520	1.000	0.000	0.060	0.033
412.000	-4536.720	1.000	0.000	0.063	0.033
413.000	-4537.320	1.000	0.000	0.065	0.033
414.000	-4537.920	1.000	0.000	0.069	0.033
415.000	-4538.320	1.000	0.000	0.065	0.033
416.000	-4538.620	1.000	0.000	0.068	0.033
417.000	-4538.920	1.000	0.000	0.060	0.033
418.000	-4539.420	1.000	0.000	0.066	0.033
419.000	-4539.620	1.000	0.000	0.062	0.033
420.000	-4540.120	1.000	0.000	0.060	0.033
421.000	-4540.420	1.000	0.000	0.067	0.033
422.000	-4540.920	1.000	0.000	0.056	0.033
423.000	-4541.320	1.000	0.000	0.046	0.033
424.000	-4541.620	1.000	0.000	0.057	0.033
425.000	-4542.020	1.000	0.000	0.050	0.033
426.000	-4542.220	1.000	0.000	0.054	0.033
427.000	-4542.520	1.000	0.000	0.047	0.033
428.000	-4543.220	1.000	0.000	0.044	0.033
429.000	-4543.420	1.000	0.000	0.041	0.033
430.000	-4543.920	1.000	0.000	0.041	0.033
431.000	-4544.320	1.000	0.000	0.044	0.033
432.000	-4544.620	1.000	0.000	0.039	0.033
433.000	-4544.820	1.000	0.000	0.037	0.033
434.000	-4545.320	1.000	0.000	0.037	0.033
435.000	-4545.520	1.000	0.000	0.032	0.033
436.000	-4546.120	1.000	0.000	0.034	0.033
437.000	-4546.420	1.000	0.000	0.039	0.033
438.000	-4546.820	1.000	0.000	0.031	0.033
439.000	-4547.120	1.000	0.000	0.041	0.033
440.000	-4547.620	1.000	0.000	0.037	0.033
441.000	-4547.820	1.000	0.000	0.037	0.033
442.000	-4548.220	1.000	0.000	0.034	0.033
443.000	-4548.620	1.000	0.000	0.037	0.033
444.000	-4549.020	1.000	0.000	0.042	0.033
445.000	-4549.520	1.000	0.000	0.044	0.033
446.000	-4550.020	1.000	0.000	0.044	0.033
447.000	-4550.220	1.000	0.000	0.030	0.033
448.000	-4550.420	1.000	0.000	0.039	0.033
449.000	-4550.620	1.000	0.000	0.046	0.033
450.000	-4551.220	1.000	0.000	0.036	0.033
451.000	-4551.620	1.000	0.000	0.041	0.033
452.000	-4552.120	1.000	0.000	0.040	0.033
453.000	-4552.520	1.000	0.000	0.042	0.033
454.000	-4552.720	1.000	0.000	0.041	0.033
455.000	-4553.120	1.000	0.000	0.036	0.033
456.000	-4553.520	1.000	0.000	0.053	0.033
457.000	-4553.720	1.000	0.000	0.039	0.033
458.000	-4554.020	1.000	0.000	0.049	0.033
459.000	-4554.420	1.000	0.000	0.044	0.033
460.000	-4554.720	1.000	0.000	0.045	0.033
461.000	-4555.220	1.000	0.000	0.047	0.033
462.000	-4555.520	1.000	0.000	0.045	0.033
463.000	-4555.920	1.000	0.000	0.049	0.033
464.000	-4556.220	1.000	0.000	0.049	0.033
465.000	-4556.420	1.000	0.000	0.059	0.033
466.000	-4556.820	1.000	0.000	0.058	0.033
467.000	-4557.320	1.000	0.000	0.056	0.033
468.000	-4557.620	1.000	0.000	0.060	0.033
469.000	-4558.120	1.000	0.000	0.067	0.033
470.000	-4558.420	1.000	0.000	0.059	0.033
471.000	-4558.820	1.000	0.000	0.043	0.033
472.000	-4559.020	1.000	0.000	0.054	0.033
473.000	-4559.320	1.000	0.000	0.055	0.033
474.000	-4559.420	1.000	0.000	0.052	0.033
475.000	-4559.920	1.000	0.000	0.050	0.033
476.000	-4560.220	1.000	0.000	0.051	0.033
477.000	-4560.420	1.000	0.000	0.041	0.033
478.000	-4561.120	1.000	0.000	0.048	0.033
479.000	-4561.520	1.000	0.000	0.047	0.033
480.000	-4561.720	1.000	0.000	0.040	0.033
481.000	-4561.920	1.000	0.000	0.038	0.033
482.000	-4562.220	1.000	0.000	0.041	0.033
483.000	-4562.420	1.000	0.000	0.042	0.033
484.000	-4562.620	1.000	0.000	0.041	0.033
485.000	-4562.920	1.000	0.000	0.041	0.033
486.000	-4563.220	1.000	0.000	0.050	0.033
487.000	-4563.720	1.000	0.000	0.042	0.033
488.000	-4564.020	1.000	0.000	0.042	0.033
489.000	-4564.320	1.000	0.000	0.052	0.033
490.000	-4564.620	1.000	0.000	0.047	0.033
491.000	-4565.020	1.000	0.000	0.047	0.033
492.000	-4565.120	1.000	0.000	0.053	0.033
493.000	-4565.620	1.000	0.000	0.056	0.033
494.000	-4565.820	1.000	0.000	0.052	0.033
495.000	-4566.220	1.000	0.000	0.044	0.033
496.000	-4566.520	1.000	0.000	0.041	0.033
497.000	-4567.120	1.000	0.000	0.046	0.033
498.000	-4567.320	1.000	0.000	0.042	0.033
499.000	-4567.620	1.000	0.000	0.046	0.033
500.000	-4568.020	1.000	0.000	0.033	0.033
501.000	-4568.320	1.000	0.000	0.037	0.033
502.000	-4568.620	1.000	0.000	0.039	0.033
503.000	-4568.920	1.000	0.000	0.038	0.033
504.000	-4569.320	1.000	0.000	0.039	0.033
