# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
155.000	-4594.620	1.000	0.000	0.043	0.040
156.000	-4594.320	1.000	0.000	0.039	0.040
157.000	-4593.920	1.000	0.000	0.041	0.040
158.000	-4593.520	1.000	0.000	0.046	0.040
159.000	-4593.220	1.000	0.000	0.046	0.040
160.000	-4593.020	1.000	0.000	0.046	0.040
161.000	-4592.720	1.000	0.000	0.048	0.040
162.000	-4592.320	1.000	0.000	0.037	0.040
163.000	-4592.020	1.000	0.000	0.045	0.040
164.000	-4591.520	1.000	0.000	0.052	0.040
165.000	-4591.320	1.000	0.000	0.043	0.040
166.000	-4590.820	1.000	0.000	0.043	0.040
167.000	-4590.520	1.000	0.000	0.041	0.040
168.000	-4590.220	1.000	0.000	0.042	0.040
169.000	-4589.920	1.000	0.000	0.045	0.040
170.000	-4589.320	1.000	0.000	0.045	0.040
171.000	-4588.920	1.000	0.000	0.046	0.040
172.000	-4588.520	1.000	0.000	0.038	0.040
173.000	-4588.220	1.000	0.000	0.041	0.040
174.000	-4587.720	1.000	0.000	0.040	0.040
175.000	-4587.520	1.000	0.000	0.048	0.040
176.000	-4587.120	1.000	0.000	0.038	0.040
177.000	-4586.820	1.000	0.000	0.041	0.040
178.000	-4586.520	1.000	0.000	0.042	0.040
179.000	-4586.120	1.000	0.000	0.038	0.040
180.000	-4585.520	1.000	0.000	0.035	0.040
181.000	-4585.120	1.000	0.000	0.040	0.040
182.000	-4584.820	1.000	0.000	0.043	0.040
183.000	-4584.420	1.000	0.000	0.038	0.040
184.000	-4584.120	1.000	0.000	0.043	0.040
185.000	-4583.720	1.000	0.000	0.043	0.040
186.000	-4583.420	1.000	0.000	0.046	0.040
187.000	-4582.920	1.000	0.000	0.054	0.040
188.000	-4582.320	1.000	0.000	0.042	0.040
189.000	-4581.920	1.000	0.000	0.051	0.040
190.000	-4581.620	1.000	0.000	0.042	0.040
191.000	-4581.320	1.000	0.000	0.047	0.040
192.000	-4581.020	1.000	0.000	0.042	0.040
193.000	-4580.620	1.000	0.000	0.042	0.040
194.000	-4580.420	1.000	0.000	0.045	0.040
195.000	-4579.820	1.000	0.000	0.047	0.040
196.000	-4579.420	1.000	0.000	0.042	0.040
197.000	-4579.020	1.000	0.000	0.049	0.040
198.000	-4578.720	1.000	0.000	0.048	0.040
199.000	-4578.220	1.000	0.000	0.051	0.040
200.000	-4578.120	1.000	0.000	0.035	0.040
201.000	-4577.720	1.000	0.000	0.040	0.040
202.000	-4577.320	1.000	0.000	0.044	0.040
203.000	-4576.920	1.000	0.000	0.037	0.040
204.000	-4576.420	1.000	0.000	0.042	0.040
205.000	-4576.020	1.000	0.000	0.043	0.040
206.000	-4575.720	1.000	0.000	0.041	0.040
207.000	-4575.420	1.000	0.000	0.040	0.040
208.000	-4575.120	1.000	0.000	0.037	0.040
209.000	-4574.720	1.000	0.000	0.042	0.040
210.000	-4574.420	1.000	0.000	0.044	0.040
211.000	-4574.020	1.000	0.000	0.040	0.040
212.000	-4573.520	1.000	0.000	0.039	0.040
213.000	-4573.120	1.000	0.000	0.036	0.040
214.000	-4572.720	1.000	0.000	0.044	0.040
215.000	-4572.520	1.000	0.000	0.037	0.040
216.000	-4572.320	1.000	0.000	0.049	0.040
217.000	-4571.920	1.000	0.000	0.038	0.040
218.000	-4571.520	1.000	0.000	0.043	0.040
219.000	-4571.020	1.000	0.000	0.039	0.040
220.000	-4570.620	1.000	0.000	0.055	0.040
221.000	-4570.220	1.000	0.000	0.040	0.040
222.000	-4569.820	1.000	0.000	0.047	0.040
223.000	-4569.520	1.000	0.000	0.041	0.040
224.000	-4569.220	1.000	0.000	0.043	0.040
225.000	-4568.720	1.000	0.000	0.046	0.040
226.000	-4568.420	1.000	0.000	0.045	0.040
227.000	-4567.920	1.000	0.000	0.036	0.040
228.000	-4567.520	1.000	0.000	0.033	0.040
229.000	-4567.120	1.000	0.000	0.049	0.040
230.000	-4566.820	1.000	0.000	0.040	0.040
231.000	-4566.520	1.000	0.000	0.034	0.040
232.000	-4566.320	1.000	0.000	0.033	0.040
233.000	-4565.820	1.000	0.000	0.033	0.040
234.000	-4565.420	1.000	0.000	0.035	0.040
235.000	-4565.020	1.000	0.000	0.034	0.040
236.000	-4564.520	1.000	0.000	0.035	0.040
237.000	-4564.320	1.000	0.000	0.047	0.040
238.000	-4563.920	1.000	0.000	0.042	0.040
239.000	-4563.620	1.000	0.000	0.028	0.040
240.000	-4563.320	1.000	0.000	0.042	0.040
241.000	-4562.820	1.000	0.000	0.047	0.040
242.000	-4562.520	1.000	0.000	0.042	0.040
243.000	-4562.220	1.000	0.000	0.049	0.040
244.000	-4561.820	1.000	0.000	0.053	0.040
245.000	-4561.420	1.000	0.000	0.047	0.040
246.000	-4561.120	1.000	0.000	0.042	0.040
247.000	-4560.820	1.000	0.000	0.044	0.040
248.000	-4560.620	1.000	0.000	0.042	0.040
249.000	-4560.220	1.000	0.000	0.042	0.040
250.000	-4560.120	1.000	0.000	0.036	0.040
251.000	-4559.620	1.000	0.000	0.041	0.040
252.000	-4559.220	1.000	0.000	0.050	0.040
253.000	-4558.720	1.000	0.000	0.051	0.040
254.000	-4558.420	1.000	0.000	0.041	0.040
255.000	-4558.120	1.000	0.000	0.044	0.040
256.000	-4557.920	1.000	0.000	0.042	0.040
257.000	-4557.520	1.000	0.000	0.040	0.040
258.000	-4557.220	1.000	0.000	0.036	0.040
259.000	-4556.920	1.000	0.000	0.040	0.040
260.000	-4556.620	1.000	0.000	0.049	0.040
261.000	-4556.220	1.000	0.000	0.035	0.040
262.000	-4555.820	1.000	0.000	0.043	0.040
263.000	-4555.520	1.000	0.000	0.042	0.040
264.000	-4555.320	1.000	0.000	0.041	0.040
265.000	-4555.020	1.000	0.000	0.038	0.040
266.000	-4554.820	1.000	0.000	0.044	0.040
267.000	-4554.420	1.000	0.000	0.037	0.040
268.000	-4554.020	1.000	0.000	0.032	0.040
269.000	-4553.720	1.000	0.000	0.042	0.040
270.000	-4553.220	1.000	0.000	0.039	0.040
271.000	-4552.820	1.000	0.000	0.047	0.040
272.000	-4552.520	1.000	0.000	0.045	0.040
273.000	-4552.320	1.000	0.000	0.045	0.040
274.000	-4552.020	1.000	0.000	0.039	0.040
275.000	-4551.720	1.000	0.000	0.043	0.040
276.000	-4551.420	1.000	0.000	0.042	0.040
277.000	-4551.020	1.000	0.000	0.042	0.040
278.000	-4550.720	1.000	0.000	0.039	0.040
279.000	-4550.220	1.000	0.000	0.036	0.040
280.000	-4549.920	1.000	0.000	0.042	0.040
281.000	-4549.520	1.000	0.000	0.041	0.040
282.000	-4549.220	1.000	0.000	0.041	0.040
283.000	-4548.920	1.000	0.000	0.041	0.040
284.000	-4548.520	1.000	0.000	0.037	0.040
285.000	-4548.220	1.000	0.000	0.036	0.040
286.000	-4547.920	1.000	0.000	0.034	0.040
287.000	-4547.320	1.000	0.000	0.039	0.040
288.000	-4546.820	1.000	0.000	0.036	0.040
289.000	-4546.520	1.000	0.000	0.043	0.040
290.000	-4546.220	1.000	0.000	0.032	0.040
291.000	-4545.920	1.000	0.000	0.041	0.040
292.000	-4545.520	1.000	0.000	0.039	0.040
293.000	-4545.220	1.000	0.000	0.032	0.040
294.000	-4544.820	1.000	0.000	0.045	0.040
295.000	-4544.320	1.000	0.000	0.040	0.040
296.000	-4543.920	1.000	0.000	0.045	0.040
