# Title: Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
390.000	78530.000	1.000	0.000	0.207	0.047
391.000	77457.000	1.000	0.000	0.225	0.047
392.000	76383.000	1.000	0.000	0.212	0.047
393.000	75310.000	1.000	0.000	0.212	0.047
394.000	74236.000	1.000	0.000	0.225	0.047
395.000	73163.000	1.000	0.000	0.219	0.047
396.000	72089.000	1.000	0.000	0.218	0.047
397.000	71016.000	1.000	0.000	0.221	0.047
398.000	69942.000	1.000	0.000	0.215	0.047
399.000	68869.000	1.000	0.000	0.225	0.047
400.000	67795.000	1.000	0.000	0.221	0.047
401.000	66722.000	1.000	0.000	0.222	0.047
402.000	65648.000	1.000	0.000	0.222	0.047
403.000	64575.000	1.000	0.000	0.221	0.047
404.000	63501.000	1.000	0.000	0.220	0.047
405.000	62428.000	1.000	0.000	0.216	0.047
406.000	61354.000	1.000	0.000	0.223	0.047
407.000	60281.000	1.000	0.000	0.215	0.047
408.000	59207.000	1.000	0.000	0.221	0.047
409.000	58134.000	1.000	0.000	0.222	0.047
410.000	57060.000	1.000	0.000	0.235	0.047
411.000	55987.000	1.000	0.000	0.237	0.047
412.000	54913.000	1.000	0.000	0.219	0.047
413.000	53840.000	1.000	0.000	0.236	0.047
414.000	52766.000	1.000	0.000	0.224	0.047
415.000	51693.000	1.000	0.000	0.225	0.047
416.000	50619.000	1.000	0.000	0.227	0.047
417.000	49546.000	1.000	0.000	0.217	0.047
418.000	48472.000	1.000	0.000	0.205	0.047
419.000	47399.000	1.000	0.000	0.227	0.047
420.000	46325.000	1.000	0.000	0.226	0.047
421.000	45252.000	1.000	0.000	0.225	0.047
422.000	44178.000	1.000	0.000	0.223	0.053
