# Title: Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	1.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
193.000	53505.000	0.063	0.142	0.143
194.000	52433.000	0.063	0.150	0.138
195.000	51361.000	0.063	0.139	0.144
196.000	50289.000	0.063	0.142	0.145
197.000	49217.000	0.063	0.146	0.146
198.000	48145.000	0.063	0.134	0.142
199.000	47073.000	0.063	0.155	0.141
200.000	47341.000	0.063	0.148	0.158
201.000	48413.000	0.063	0.148	0.143
202.000	49485.000	0.063	0.146	0.150
203.000	50557.000	0.063	0.140	0.139
204.000	51629.000	0.063	0.144	0.145
205.000	52701.000	0.063	0.140	0.137
206.000	53773.000	0.063	0.151	0.149
207.000	54844.000	0.063	0.146	0.142
208.000	55916.000	0.063	0.136	0.140
209.000	56988.000	0.063	0.145	0.146
210.000	58060.000	0.063	0.137	0.141
211.000	59132.000	0.063	0.139	0.143
212.000	60204.000	0.063	0.155	0.141
213.000	61276.000	0.063	0.134	0.135
214.000	62348.000	0.063	0.137	0.134
215.000	63420.000	0.063	0.154	0.138
216.000	64492.000	0.063	0.144	0.143
217.000	65564.000	0.063	0.141	0.153
218.000	66636.000	0.063	0.140	0.143
219.000	67708.000	0.063	0.139	0.143
220.000	68780.000	0.063	0.139	0.141
221.000	69852.000	0.063	0.137	0.140
222.000	70924.000	0.063	0.138	0.138
223.000	71996.000	0.063	0.142	0.139
224.000	73067.000	0.063	0.155	0.134
225.000	74139.000	0.063	0.151	0.144
226.000	75211.000	0.063	0.143	0.131
227.000	76283.000	0.063	0.138	0.153
228.000	77355.000	0.063	0.148	0.141
229.000	78427.000	0.063	0.145	0.146
230.000	79499.000	0.063	0.150	0.146
231.000	80571.000	0.063	0.140	0.139
232.000	81643.000	0.063	0.146	0.135
233.000	82715.000	0.063	0.135	0.137
234.000	83787.000	0.063	0.137	0.134
235.000	84859.000	0.063	0.142	0.145
236.000	85931.000	0.063	0.134	0.152
237.000	87003.000	0.063	0.147	0.136
238.000	88075.000	0.063	0.133	0.143
239.000	89147.000	0.063	0.140	0.141
240.000	90219.000	0.063	0.135	0.137
241.000	91290.000	0.063	0.141	0.137
242.000	92362.000	0.063	0.146	0.146
243.000	93434.000	0.063	0.131	0.139
244.000	94506.000	0.063	0.127	0.147
245.000	95578.000	0.063	0.138	0.143
246.000	96650.000	0.063	0.147	0.140
247.000	97722.000	0.063	0.144	0.144
248.000	98794.000	0.063	0.136	0.140
249.000	99866.000	0.063	0.144	0.139
250.000	100938.000	0.063	0.149	0.131
251.000	102010.000	0.063	0.143	0.139
252.000	103082.000	0.063	0.140	0.133
253.000	104154.000	0.063	0.139	0.136
254.000	105226.000	0.063	0.129	0.142
255.000	106298.000	0.063	0.138	0.144
256.000	107370.000	0.063	0.137	0.120
257.000	108442.000	0.063	0.132	0.132
258.000	109513.000	0.063	0.140	0.135
259.000	110585.000	0.063	0.132	0.135
260.000	111657.000	0.063	0.135	0.142
261.000	112729.000	0.063	0.130	0.134
262.000	113801.000	0.063	0.134	0.150
263.000	114873.000	0.063	0.142	0.137
264.000	115945.000	0.063	0.143	0.141
265.000	117017.000	0.063	0.131	0.152
266.000	118089.000	0.063	0.128	0.146
267.000	119161.000	0.063	0.137	0.140
268.000	120233.000	0.063	0.129	0.133
269.000	121305.000	0.063	0.136	0.141
270.000	122377.000	0.063	0.141	0.142
271.000	123449.000	0.063	0.130	0.154
272.000	124521.000	0.063	0.129	0.145
273.000	125593.000	0.063	0.136	0.145
274.000	126665.000	0.063	0.136	0.149
275.000	127736.000	0.063	0.141	0.148
276.000	128808.000	0.063	0.143	0.144
