# Title: Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
56.000	106834.000	0.044	0.107	0.135
57.000	107906.000	0.044	0.105	0.136
58.000	108978.000	0.044	0.094	0.134
59.000	110049.000	0.044	0.094	0.149
60.000	111121.000	0.044	0.099	0.134
61.000	112193.000	0.044	0.106	0.138
62.000	113265.000	0.044	0.100	0.139
63.000	114337.000	0.044	0.102	0.131
64.000	115409.000	0.044	0.103	0.138
65.000	116481.000	0.044	0.101	0.127
66.000	117553.000	0.044	0.096	0.144
67.000	118625.000	0.044	0.103	0.141
68.000	119697.000	0.044	0.095	0.147
69.000	120769.000	0.044	0.095	0.136
70.000	121841.000	0.044	0.096	0.143
71.000	122913.000	0.044	0.100	0.137
72.000	123985.000	0.044	0.095	0.125
73.000	125057.000	0.044	0.108	0.137
74.000	126129.000	0.044	0.104	0.127
75.000	127201.000	0.044	0.096	0.139
76.000	128272.000	0.044	0.098	0.141
77.000	129344.000	0.044	0.100	0.137
78.000	130416.000	0.044	0.099	0.141
79.000	131488.000	0.044	0.104	0.127
80.000	132560.000	0.044	0.096	0.137
81.000	133632.000	0.044	0.100	0.134
82.000	134704.000	0.044	0.105	0.137
83.000	135776.000	0.044	0.094	0.137
84.000	136848.000	0.044	0.100	0.136
85.000	137920.000	0.044	0.097	0.137
86.000	138992.000	0.044	0.104	0.138
87.000	140064.000	0.044	0.101	0.134
88.000	141136.000	0.044	0.089	0.138
89.000	142208.000	0.044	0.101	0.143
90.000	143280.000	0.044	0.099	0.128
91.000	144352.000	0.044	0.105	0.138
92.000	145424.000	0.044	0.103	0.138
93.000	146495.000	0.044	0.096	0.144
94.000	147567.000	0.044	0.101	0.135
95.000	148639.000	0.044	0.102	0.131
96.000	149711.000	0.044	0.095	0.135
97.000	150783.000	0.044	0.093	0.136
98.000	151855.000	0.044	0.098	0.143
99.000	152927.000	0.044	0.106	0.136
100.000	153195.000	0.044	0.097	0.136
101.000	152123.000	0.044	0.101	0.131
102.000	151051.000	0.044	0.105	0.134
103.000	149979.000	0.044	0.098	0.137
104.000	148907.000	0.044	0.090	0.138
105.000	147835.000	0.044	0.102	0.121
106.000	146763.000	0.044	0.094	0.138
107.000	145691.000	0.044	0.100	0.137
108.000	144620.000	0.044	0.103	0.142
109.000	143548.000	0.044	0.101	0.134
110.000	142476.000	0.044	0.102	0.135
111.000	141404.000	0.044	0.100	0.129
112.000	140332.000	0.044	0.100	0.136
113.000	139260.000	0.044	0.090	0.138
114.000	138188.000	0.044	0.102	0.135
115.000	137116.000	0.044	0.103	0.136
116.000	136044.000	0.044	0.101	0.135
117.000	134972.000	0.044	0.093	0.141
118.000	133900.000	0.044	0.115	0.133
119.000	132828.000	0.044	0.096	0.142
120.000	131756.000	0.044	0.096	0.137
121.000	130684.000	0.044	0.093	0.124
122.000	129612.000	0.044	0.094	0.147
123.000	128540.000	0.044	0.093	0.152
124.000	127468.000	0.044	0.095	0.134
125.000	126397.000	0.044	0.099	0.131
126.000	125325.000	0.044	0.111	0.134
127.000	124253.000	0.044	0.102	0.136
128.000	123181.000	0.044	0.097	0.139
129.000	122109.000	0.044	0.102	0.130
130.000	121037.000	0.044	0.106	0.139
131.000	119965.000	0.044	0.092	0.140
132.000	118893.000	0.044	0.103	0.135
133.000	117821.000	0.044	0.096	0.136
134.000	116749.000	0.044	0.097	0.139
135.000	115677.000	0.044	0.095	0.140
136.000	114605.000	0.044	0.100	0.126
137.000	113533.000	0.044	0.102	0.140
138.000	112461.000	0.044	0.103	0.138
139.000	111389.000	0.044	0.108	0.146
140.000	110317.000	0.044	0.110	0.129
141.000	109245.000	0.044	0.106	0.139
142.000	108174.000	0.044	0.104	0.137
143.000	107102.000	0.044	0.102	0.143
144.000	106030.000	0.044	0.102	0.134
145.000	104958.000	0.044	0.109	0.137
146.000	103886.000	0.044	0.103	0.135
147.000	102814.000	0.044	0.107	0.140
148.000	101742.000	0.044	0.111	0.129
149.000	100670.000	0.044	0.100	0.142
150.000	99598.000	0.044	0.100	0.143
151.000	98526.000	0.044	0.086	0.138
152.000	97454.000	0.044	0.098	0.143
153.000	96382.000	0.044	0.107	0.137
154.000	95310.000	0.044	0.096	0.126
155.000	94238.000	0.044	0.098	0.133
156.000	93166.000	0.044	0.097	0.152
157.000	92094.000	0.044	0.121	0.131
158.000	91022.000	0.044	0.107	0.133
159.000	89951.000	0.044	0.104	0.135
160.000	88879.000	0.044	0.099	0.144
161.000	87807.000	0.044	0.097	0.144
162.000	86735.000	0.044	0.107	0.124
163.000	85663.000	0.044	0.101	0.132
164.000	84591.000	0.044	0.098	0.139
165.000	83519.000	0.044	0.104	0.142
166.000	82447.000	0.044	0.108	0.135
167.000	81375.000	0.044	0.094	0.132
168.000	80303.000	0.044	0.104	0.146
169.000	79231.000	0.044	0.099	0.115
170.000	78159.000	0.044	0.105	0.126
171.000	77087.000	0.044	0.096	0.142
172.000	76015.000	0.044	0.111	0.140
173.000	74943.000	0.044	0.100	0.134
174.000	73871.000	0.044	0.102	0.141
175.000	72799.000	0.044	0.101	0.135
176.000	71728.000	0.044	0.107	0.134
177.000	70656.000	0.044	0.112	0.141
178.000	69584.000	0.044	0.110	0.147
179.000	68512.000	0.044	0.107	0.135
180.000	67440.000	0.044	0.095	0.130
181.000	66368.000	0.044	0.098	0.137
182.000	65296.000	0.044	0.104	0.126
183.000	64224.000	0.044	0.099	0.137
184.000	63152.000	0.044	0.095	0.139
185.000	62080.000	0.044	0.103	0.129
186.000	61008.000	0.044	0.103	0.142
187.000	59936.000	0.044	0.099	0.137
188.000	58864.000	0.044	0.102	0.136
189.000	57792.000	0.044	0.097	0.131
190.000	56720.000	0.044	0.104	0.130
191.000	55648.000	0.044	0.100	0.121
192.000	54576.000	0.044	0.105	0.139
193.000	53505.000	0.044	0.104	0.140
194.000	52433.000	0.044	0.107	0.136
195.000	51361.000	0.044	0.106	0.138
196.000	50289.000	0.044	0.097	0.128
197.000	49217.000	0.044	0.097	0.136
198.000	48145.000	0.044	0.102	0.138
199.000	47073.000	0.044	0.101	0.131
200.000	47341.000	0.044	0.111	0.133
201.000	48413.000	0.044	0.110	0.129
202.000	49485.000	0.044	0.103	0.136
203.000	50557.000	0.044	0.100	0.135
204.000	51629.000	0.044	0.111	0.137
205.000	52701.000	0.044	0.109	0.145
206.000	53773.000	0.044	0.103	0.128
207.000	54844.000	0.044	0.102	0.134
208.000	55916.000	0.044	0.105	0.140
209.000	56988.000	0.044	0.104	0.141
210.000	58060.000	0.044	0.104	0.141
211.000	59132.000	0.044	0.106	0.143
212.000	60204.000	0.044	0.102	0.146
213.000	61276.000	0.044	0.108	0.133
214.000	62348.000	0.044	0.110	0.125
215.000	63420.000	0.044	0.116	0.133
216.000	64492.000	0.044	0.104	0.138
217.000	65564.000	0.044	0.112	0.147
218.000	66636.000	0.044	0.103	0.138
219.000	67708.000	0.044	0.101	0.134
220.000	68780.000	0.044	0.107	0.136
221.000	69852.000	0.044	0.110	0.140
222.000	70924.000	0.044	0.108	0.130
223.000	71996.000	0.044	0.116	0.137
224.000	73067.000	0.044	0.114	0.134
225.000	74139.000	0.044	0.096	0.137
226.000	75211.000	0.044	0.106	0.136
227.000	76283.000	0.044	0.099	0.134
228.000	77355.000	0.044	0.103	0.131
229.000	78427.000	0.044	0.114	0.133
230.000	79499.000	0.044	0.102	0.146
231.000	80571.000	0.044	0.100	0.128
232.000	81643.000	0.044	0.122	0.142
233.000	82715.000	0.044	0.110	0.140
234.000	83787.000	0.044	0.104	0.135
235.000	84859.000	0.044	0.099	0.125
236.000	85931.000	0.044	0.100	0.137
237.000	87003.000	0.044	0.113	0.137
238.000	88075.000	0.044	0.113	0.141
239.000	89147.000	0.044	0.109	0.133
240.000	90219.000	0.044	0.114	0.132
241.000	91290.000	0.044	0.099	0.132
242.000	92362.000	0.044	0.105	0.148
243.000	93434.000	0.044	0.104	0.145
244.000	94506.000	0.044	0.098	0.130
245.000	95578.000	0.044	0.103	0.144
246.000	96650.000	0.044	0.112	0.141
247.000	97722.000	0.044	0.107	0.137
248.000	98794.000	0.044	0.106	0.153
249.000	99866.000	0.044	0.110	0.136
250.000	100938.000	0.044	0.103	0.136
251.000	102010.000	0.044	0.112	0.145
252.000	103082.000	0.044	0.109	0.136
253.000	104154.000	0.044	0.116	0.134
254.000	105226.000	0.044	0.095	0.129
255.000	106298.000	0.044	0.110	0.130
256.000	107370.000	0.044	0.108	0.137
257.000	108442.000	0.044	0.092	0.131
258.000	109513.000	0.044	0.112	0.136
259.000	110585.000	0.044	0.101	0.152
260.000	111657.000	0.044	0.106	0.131
261.000	112729.000	0.044	0.110	0.140
262.000	113801.000	0.044	0.104	0.137
263.000	114873.000	0.044	0.100	0.144
264.000	115945.000	0.044	0.095	0.147
265.000	117017.000	0.044	0.100	0.122
266.000	118089.000	0.044	0.106	0.135
267.000	119161.000	0.044	0.122	0.125
268.000	120233.000	0.044	0.117	0.132
269.000	121305.000	0.044	0.113	0.146
270.000	122377.000	0.044	0.108	0.143
271.000	123449.000	0.044	0.100	0.146
272.000	124521.000	0.044	0.107	0.140
273.000	125593.000	0.044	0.104	0.129
274.000	126665.000	0.044	0.117	0.137
275.000	127736.000	0.044	0.114	0.147
276.000	128808.000	0.044	0.111	0.137
277.000	129880.000	0.044	0.107	0.144
278.000	130952.000	0.044	0.113	0.149
279.000	132024.000	0.044	0.113	0.144
280.000	133096.000	0.044	0.112	0.146
281.000	134168.000	0.044	0.109	0.139
282.000	135240.000	0.044	0.101	0.143
283.000	136312.000	0.044	0.109	0.149
284.000	137384.000	0.044	0.105	0.132
285.000	138456.000	0.044	0.112	0.145
286.000	139528.000	0.044	0.114	0.137
287.000	140600.000	0.044	0.108	0.147
288.000	141672.000	0.044	0.111	0.143
289.000	142744.000	0.044	0.109	0.141
290.000	143816.000	0.044	0.109	0.142
291.000	144888.000	0.044	0.103	0.141
292.000	145959.000	0.044	0.108	0.141
293.000	147031.000	0.044	0.109	0.139
294.000	148103.000	0.044	0.112	0.144
295.000	149175.000	0.044	0.104	0.150
296.000	150247.000	0.044	0.111	0.164
297.000	151319.000	0.044	0.114	0.127
298.000	152391.000	0.044	0.109	0.130
299.000	152659.000	0.044	0.095	0.137
300.000	151587.000	0.044	0.111	0.140
301.000	150515.000	0.044	0.097	0.140
302.000	149443.000	0.044	0.109	0.128
303.000	148371.000	0.044	0.108	0.136
304.000	147299.000	0.044	0.099	0.145
305.000	146227.000	0.044	0.105	0.144
306.000	145156.000	0.044	0.102	0.142
307.000	144084.000	0.044	0.110	0.139
308.000	143012.000	0.044	0.102	0.131
309.000	141940.000	0.044	0.095	0.132
310.000	140868.000	0.044	0.115	0.136
311.000	139796.000	0.044	0.106	0.144
312.000	138724.000	0.044	0.097	0.134
313.000	137652.000	0.044	0.112	0.140
314.000	136580.000	0.044	0.088	0.140
315.000	135508.000	0.044	0.105	0.133
316.000	134436.000	0.044	0.101	0.144
317.000	133364.000	0.044	0.103	0.138
318.000	132292.000	0.044	0.105	0.134
319.000	131220.000	0.044	0.101	0.145
320.000	130148.000	0.044	0.106	0.142
321.000	129076.000	0.044	0.110	0.144
322.000	128004.000	0.044	0.096	0.141
323.000	126933.000	0.044	0.100	0.129
324.000	125861.000	0.044	0.102	0.132
325.000	124789.000	0.044	0.101	0.145
326.000	123717.000	0.044	0.108	0.141
327.000	122645.000	0.044	0.099	0.133
328.000	121573.000	0.044	0.100	0.145
329.000	120501.000	0.044	0.103	0.130
330.000	119429.000	0.044	0.122	0.141
331.000	118357.000	0.044	0.105	0.130
332.000	117285.000	0.044	0.102	0.137
333.000	116213.000	0.044	0.100	0.147
334.000	115141.000	0.044	0.097	0.138
335.000	114069.000	0.044	0.104	0.137
336.000	112997.000	0.044	0.111	0.143
337.000	111925.000	0.044	0.109	0.127
338.000	110853.000	0.044	0.109	0.133
339.000	109781.000	0.044	0.100	0.137
340.000	108710.000	0.044	0.103	0.125
341.000	107638.000	0.044	0.114	0.129
342.000	106566.000	0.044	0.109	0.126
343.000	105494.000	0.044	0.103	0.136
344.000	104422.000	0.044	0.094	0.126
345.000	103350.000	0.044	0.110	0.132
346.000	102278.000	0.044	0.107	0.131
347.000	101206.000	0.044	0.099	0.144
348.000	100134.000	0.044	0.098	0.130
349.000	99062.000	0.044	0.097	0.135
350.000	97990.000	0.044	0.097	0.143
351.000	96918.000	0.044	0.096	0.142
352.000	95846.000	0.044	0.103	0.132
353.000	94774.000	0.044	0.105	0.152
354.000	93702.000	0.044	0.101	0.138
355.000	92630.000	0.044	0.100	0.128
356.000	91558.000	0.044	0.106	0.140
357.000	90487.000	0.044	0.100	0.126
358.000	89415.000	0.044	0.099	0.141
359.000	88343.000	0.044	0.100	0.139
360.000	87271.000	0.044	0.097	0.134
361.000	86199.000	0.044	0.108	0.134
362.000	85127.000	0.044	0.098	0.146
363.000	84055.000	0.044	0.111	0.136
364.000	82983.000	0.044	0.097	0.130
365.000	81911.000	0.044	0.102	0.137
366.000	80839.000	0.044	0.112	0.135
367.000	79767.000	0.044	0.116	0.127
368.000	78695.000	0.044	0.114	0.137
369.000	77623.000	0.044	0.104	0.142
370.000	76551.000	0.044	0.110	0.140
371.000	75479.000	0.044	0.108	0.146
372.000	74407.000	0.044	0.100	0.149
373.000	73335.000	0.044	0.101	0.140
374.000	72264.000	0.044	0.112	0.132
375.000	71192.000	0.044	0.107	0.133
376.000	70120.000	0.044	0.093	0.142
377.000	69048.000	0.044	0.095	0.136
378.000	67976.000	0.044	0.102	0.133
379.000	66904.000	0.044	0.101	0.140
380.000	65832.000	0.044	0.117	0.143
381.000	64760.000	0.044	0.101	0.130
382.000	63688.000	0.044	0.103	0.131
383.000	62616.000	0.044	0.107	0.140
384.000	61544.000	0.044	0.108	0.133
385.000	60472.000	0.044	0.095	0.149
386.000	59400.000	0.044	0.109	0.147
387.000	58328.000	0.044	0.114	0.133
388.000	57256.000	0.044	0.102	0.134
389.000	56184.000	0.044	0.110	0.135
390.000	55112.000	0.044	0.112	0.144
391.000	54041.000	0.044	0.115	0.120
392.000	52969.000	0.044	0.103	0.136
393.000	51897.000	0.044	0.108	0.140
394.000	50825.000	0.044	0.100	0.131
395.000	49753.000	0.044	0.109	0.147
396.000	48681.000	0.044	0.110	0.137
397.000	47609.000	0.044	0.101	0.138
