# Title: Diode Laser Frequency Scan, MW Blink at -5 dB MW and -35 dB PM, 40 V Static, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, phase modulation at -35 dB (1.4), looking for MW power shift. Tuned to red end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
118.000	-4518.020	0.055	0.103	0.131
119.000	-4518.020	0.055	0.100	0.120
120.000	-4518.020	0.055	0.090	0.100
121.000	-4517.920	0.055	0.098	0.099
122.000	-4517.920	0.055	0.105	0.094
123.000	-4517.920	0.055	0.093	0.097
124.000	-4517.920	0.055	0.101	0.093
125.000	-4517.820	0.055	0.103	0.097
126.000	-4517.820	0.055	0.108	0.095
127.000	-4517.820	0.055	0.109	0.094
128.000	-4517.820	0.055	0.102	0.109
129.000	-4517.820	0.055	0.099	0.107
130.000	-4517.820	0.055	0.105	0.125
131.000	-4517.820	0.055	0.097	0.135
132.000	-4517.820	0.055	0.101	0.153
133.000	-4517.720	0.055	0.105	0.195
134.000	-4517.720	0.055	0.107	0.244
135.000	-4517.720	0.055	0.095	0.283
136.000	-4517.720	0.055	0.109	0.241
137.000	-4517.720	0.055	0.112	0.233
138.000	-4517.620	0.055	0.111	0.240
139.000	-4517.620	0.055	0.106	0.235
140.000	-4517.620	0.055	0.108	0.207
141.000	-4517.620	0.055	0.112	0.172
142.000	-4517.620	0.055	0.113	0.132
143.000	-4517.520	0.055	0.114	0.123
144.000	-4517.620	0.055	0.124	0.107
145.000	-4517.520	0.055	0.112	0.102
146.000	-4517.520	0.055	0.122	0.098
147.000	-4517.520	0.055	0.142	0.106
148.000	-4517.520	0.055	0.148	0.091
149.000	-4517.520	0.055	0.147	0.102
150.000	-4517.420	0.055	0.132	0.104
151.000	-4517.420	0.055	0.125	0.116
152.000	-4517.420	0.055	0.115	0.123
153.000	-4517.420	0.055	0.116	0.115
154.000	-4517.320	0.055	0.108	0.140
155.000	-4517.320	0.055	0.104	0.142
156.000	-4517.220	0.055	0.096	0.138
157.000	-4517.220	0.055	0.098	0.131
158.000	-4517.220	0.055	0.097	0.115
159.000	-4517.220	0.055	0.098	0.096
160.000	-4517.220	0.055	0.089	0.094
161.000	-4517.220	0.055	0.090	0.092
162.000	-4517.220	0.055	0.099	0.095
163.000	-4517.220	0.055	0.095	0.093
164.000	-4517.120	0.055	0.111	0.095
165.000	-4517.220	0.055	0.104	0.103
166.000	-4517.120	0.055	0.105	0.115
167.000	-4517.120	0.055	0.102	0.118
168.000	-4517.120	0.055	0.094	0.124
169.000	-4517.120	0.055	0.098	0.136
170.000	-4517.020	0.055	0.092	0.123
171.000	-4517.020	0.055	0.091	0.149
172.000	-4517.020	0.055	0.088	0.199
173.000	-4516.920	0.055	0.097	0.251
174.000	-4516.920	0.055	0.093	0.270
175.000	-4516.920	0.055	0.097	0.272
176.000	-4516.920	0.055	0.097	0.278
177.000	-4516.920	0.055	0.095	0.230
178.000	-4516.920	0.055	0.101	0.179
179.000	-4516.920	0.055	0.103	0.140
180.000	-4516.820	0.055	0.108	0.121
181.000	-4516.820	0.055	0.097	0.116
182.000	-4516.820	0.055	0.106	0.111
183.000	-4516.820	0.055	0.121	0.109
184.000	-4516.820	0.055	0.132	0.100
185.000	-4516.820	0.055	0.153	0.107
186.000	-4516.720	0.055	0.147	0.094
187.000	-4516.720	0.055	0.129	0.102
188.000	-4516.720	0.055	0.118	0.108
189.000	-4516.620	0.055	0.116	0.096
190.000	-4516.620	0.055	0.105	0.113
191.000	-4516.520	0.055	0.097	0.132
192.000	-4516.520	0.055	0.097	0.148
193.000	-4516.520	0.055	0.092	0.134
194.000	-4516.520	0.055	0.099	0.128
195.000	-4516.420	0.055	0.092	0.112
196.000	-4516.420	0.055	0.095	0.088
197.000	-4516.420	0.055	0.094	0.094
198.000	-4516.420	0.055	0.094	0.088
199.000	-4516.420	0.055	0.104	0.095
200.000	-4516.320	0.055	0.120	0.094
201.000	-4516.420	0.055	0.117	0.094
202.000	-4516.320	0.055	0.114	0.102
203.000	-4516.320	0.055	0.103	0.103
204.000	-4516.320	0.055	0.090	0.100
205.000	-4516.220	0.055	0.079	0.101
206.000	-4516.220	0.055	0.080	0.105
207.000	-4516.120	0.055	0.079	0.124
208.000	-4516.120	0.055	0.088	0.139
209.000	-4516.120	0.055	0.093	0.174
210.000	-4516.120	0.055	0.094	0.213
211.000	-4516.120	0.055	0.088	0.286
212.000	-4516.120	0.055	0.087	0.320
213.000	-4516.120	0.055	0.092	0.301
214.000	-4516.120	0.055	0.097	0.242
215.000	-4516.120	0.055	0.102	0.174
216.000	-4516.120	0.055	0.089	0.138
217.000	-4516.120	0.055	0.095	0.118
218.000	-4516.020	0.055	0.086	0.105
219.000	-4516.020	0.055	0.109	0.103
220.000	-4515.920	0.055	0.113	0.109
221.000	-4515.920	0.055	0.130	0.104
222.000	-4515.920	0.055	0.144	0.086
223.000	-4515.920	0.055	0.131	0.081
224.000	-4515.820	0.055	0.115	0.099
225.000	-4515.820	0.055	0.101	0.090
226.000	-4515.820	0.055	0.098	0.094
227.000	-4515.820	0.055	0.109	0.098
228.000	-4515.820	0.055	0.092	0.132
229.000	-4515.720	0.055	0.093	0.121
230.000	-4515.720	0.055	0.089	0.122
231.000	-4515.720	0.055	0.086	0.109
232.000	-4515.720	0.055	0.090	0.095
233.000	-4515.720	0.055	0.101	0.089
234.000	-4515.620	0.055	0.109	0.085
