# Title: Diode Laser Frequency Scan, MW Blink at -5 dB, 40 V Static, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, no phase modulation, looking for MW power shift. Tuned to red end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
91	-4518.72	0.0529605	0.0933979	0.119804	
92	-4518.72	0.0529605	0.0901095	0.143908	
93	-4518.72	0.0529605	0.079192	0.16982	
94	-4518.72	0.0529605	0.0786001	0.216252	
95	-4518.72	0.0529605	0.0832696	0.24154	
96	-4518.72	0.0529605	0.0854399	0.21372	
97	-4518.72	0.0529605	0.0865251	0.202309	
98	-4518.62	0.0529605	0.0846507	0.199218	
99	-4518.62	0.0529605	0.0925758	0.207078	
100	-4518.62	0.0529605	0.0941542	0.231806	
101	-4518.62	0.0529605	0.101553	0.230557	
102	-4518.62	0.0529605	0.10254	0.205565	
103	-4518.62	0.0529605	0.122862	0.161468	
104	-4518.62	0.0529605	0.120987	0.119442	
105	-4518.62	0.0529605	0.115364	0.113358	
106	-4518.62	0.0529605	0.111813	0.102967	
107	-4518.62	0.0529605	0.102638	0.102967	
108	-4518.62	0.0529605	0.105795	0.0996458	
109	-4518.62	0.0529605	0.127696	0.0943515	
110	-4518.62	0.0529605	0.143546	0.0917208	
111	-4518.52	0.0529605	0.154924	0.0908658	
112	-4518.52	0.0529605	0.159297	0.0994814	
113	-4518.52	0.0529605	0.133714	0.0965547	
114	-4518.52	0.0529605	0.108755	0.110267	
115	-4518.42	0.0529605	0.113589	0.112175	
116	-4518.42	0.0529605	0.109577	0.13151	
117	-4518.42	0.0529605	0.100764	0.146341	
118	-4518.42	0.0529605	0.0996787	0.13618	
119	-4518.42	0.0529605	0.0915235	0.144138	
120	-4518.32	0.0529605	0.0883008	0.135489	
121	-4518.32	0.0529605	0.0789947	0.113523	
122	-4518.32	0.0529605	0.0810664	0.0900108	
123	-4518.32	0.0529605	0.0832696	0.0968507	
124	-4518.32	0.0529605	0.0794222	0.0937267	
125	-4518.32	0.0529605	0.0819871	0.0951078	
126	-4518.22	0.0529605	0.085144	0.0983962	
127	-4518.22	0.0529605	0.0894847	0.0906685	
128	-4518.22	0.0529605	0.0913919	0.100698	
129	-4518.22	0.0529605	0.100172	0.108196	
130	-4518.12	0.0529605	0.0896162	0.121415	
131	-4518.12	0.0529605	0.0914577	0.136772	
132	-4518.12	0.0529605	0.0922798	0.127663	
133	-4518.02	0.0529605	0.0866567	0.155746	
134	-4518.02	0.0529605	0.0928388	0.178896	
135	-4518.02	0.0529605	0.0825791	0.230557	
136	-4518.02	0.0529605	0.0931019	0.274161	
137	-4518.02	0.0529605	0.0897149	0.247952	
138	-4518.02	0.0529605	0.0967191	0.231971	
139	-4517.92	0.0529605	0.10083	0.24519	
140	-4517.92	0.0529605	0.107012	0.248182	
141	-4517.92	0.0529605	0.099317	0.18544	
142	-4517.92	0.0529605	0.0877747	0.151372	
143	-4517.92	0.0529605	0.103099	0.124342	
144	-4517.92	0.0529605	0.094779	0.119771	
145	-4517.92	0.0529605	0.0989223	0.113062	
146	-4517.82	0.0529605	0.114739	0.110728	
147	-4517.82	0.0529605	0.123815	0.105368	
148	-4517.82	0.0529605	0.130031	0.105696	
149	-4517.82	0.0529605	0.127696	0.104052	
150	-4517.72	0.0529605	0.13641	0.104874	
151	-4517.72	0.0529605	0.120132	0.107965	
152	-4517.72	0.0529605	0.116515	0.0982976	
153	-4517.72	0.0529605	0.10813	0.102178	
154	-4517.72	0.0529605	0.105072	0.110991	
155	-4517.72	0.0529605	0.0906027	0.130359	
156	-4517.72	0.0529605	0.0963245	0.14496	
157	-4517.72	0.0529605	0.0860319	0.152161	
158	-4517.62	0.0529605	0.0837958	0.128288	
159	-4517.62	0.0529605	0.0784686	0.111616	
160	-4517.62	0.0529605	0.0907671	0.0997444	
161	-4517.62	0.0529605	0.0858674	0.0917208	
162	-4517.62	0.0529605	0.0837629	0.0916879	
163	-4517.52	0.0529605	0.0819543	0.0921483	
164	-4517.52	0.0529605	0.0909644	0.0906027	
165	-4517.52	0.0529605	0.0983304	0.0901095	
166	-4517.52	0.0529605	0.100106	0.0965547	
167	-4517.42	0.0529605	0.111385	0.097607	
168	-4517.42	0.0529605	0.0956011	0.107965	
169	-4517.42	0.0529605	0.0916879	0.112898	
170	-4517.42	0.0529605	0.0883337	0.12911	
171	-4517.32	0.0529605	0.0931677	0.131971	
172	-4517.32	0.0529605	0.086854	0.147426	
173	-4517.32	0.0529605	0.0802772	0.197541	
174	-4517.32	0.0529605	0.0859661	0.237495	
175	-4517.32	0.0529605	0.0952393	0.270511	
176	-4517.22	0.0529605	0.0941871	0.27518	
177	-4517.22	0.0529605	0.0931348	0.251964	
178	-4517.22	0.0529605	0.0927731	0.221382	
179	-4517.22	0.0529605	0.0948119	0.186492	
180	-4517.22	0.0529605	0.102671	0.145782	
181	-4517.22	0.0529605	0.0971137	0.12421	
182	-4517.12	0.0529605	0.0992512	0.112865	
183	-4517.12	0.0529605	0.0996787	0.112964	
184	-4517.12	0.0529605	0.121842	0.0957984	
185	-4517.12	0.0529605	0.126874	0.105664	
186	-4517.12	0.0529605	0.135752	0.105696	
187	-4517.02	0.0529605	0.131971	0.0996458	
188	-4517.02	0.0529605	0.127893	0.1079	
189	-4517.02	0.0529605	0.11931	0.105072	
190	-4516.92	0.0529605	0.114082	0.103526	
191	-4516.92	0.0529605	0.0911946	0.124605	
192	-4516.82	0.0529605	0.100106	0.139172	
193	-4516.82	0.0529605	0.0932005	0.136936	
194	-4516.82	0.0529605	0.0935952	0.12809	
195	-4516.82	0.0529605	0.0909644	0.112964	
196	-4516.82	0.0529605	0.0842561	0.0958313	
197	-4516.82	0.0529605	0.0909316	0.0996787	
198	-4516.72	0.0529605	0.0894847	0.0941871	
199	-4516.72	0.0529605	0.103756	0.0952393	
200	-4516.72	0.0529605	0.108426	0.102934	
201	-4516.72	0.0529605	0.111616	0.0874788	
202	-4516.62	0.0529605	0.123224	0.0876761	
203	-4516.62	0.0529605	0.11908	0.0917537	
204	-4516.62	0.0529605	0.112503	0.101027	
205	-4516.62	0.0529605	0.0875116	0.0979358	
206	-4516.52	0.0529605	0.0964561	0.102277	
207	-4516.52	0.0529605	0.0839602	0.106584	
208	-4516.52	0.0529605	0.0967191	0.115858	
209	-4516.52	0.0529605	0.100238	0.147656	
210	-4516.52	0.0529605	0.0979029	0.160152	
211	-4516.42	0.0529605	0.089682	0.228551	
212	-4516.42	0.0529605	0.0930361	0.287018	
213	-4516.42	0.0529605	0.0905698	0.305138	
214	-4516.42	0.0529605	0.0995143	0.250353	
215	-4516.42	0.0529605	0.0991196	0.216943	
216	-4516.32	0.0529605	0.100928	0.153016	
217	-4516.32	0.0529605	0.0892545	0.129537	
218	-4516.32	0.0529605	0.0891558	0.118784	
219	-4516.32	0.0529605	0.0962587	0.107867	
220	-4516.32	0.0529605	0.105302	0.107406	
221	-4516.22	0.0529605	0.116318	0.0992183	
222	-4516.22	0.0529605	0.140915	0.100632	
223	-4516.22	0.0529605	0.133483	0.102277	
224	-4516.22	0.0529605	0.13151	0.0889914	
225	-4516.12	0.0529605	0.118357	0.094483	
226	-4516.12	0.0529605	0.109051	0.096193	
227	-4516.12	0.0529605	0.109938	0.0956668	
228	-4516.12	0.0529605	0.101257	0.106453	
229	-4516.12	0.0529605	0.0988237	0.113687	
230	-4516.02	0.0529605	0.0859332	0.129965	
231	-4516.02	0.0529605	0.0873472	0.113556	
232	-4516.02	0.0529605	0.0950749	0.0901423	
233	-4516.02	0.0529605	0.0915235	0.0909973	
234	-4516.02	0.0529605	0.0971466	0.0903725	
