# Title: Diode Laser Delay Scan with MW, Static, and PM
# Note:	Diode Laser Delay Scan w/ Norm, 11.0 dB on MW Var Attn, 40 V applied, 35 dB on PM Var Attn (1.4), n=27 looking for modulation at the MW period. Laser tuned to Reddest Stark State, looking at smaller field for no 2x modulation, just 1x.
# Type:	Delay
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361350.8 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	35 dB
# MW Attn:	11.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	d	n	nb	s	sb
247.000	97722.000	1.000	0.000	0.141	0.055
248.000	98794.000	1.000	0.000	0.101	0.055
249.000	99866.000	1.000	0.000	0.077	0.055
250.000	100938.000	1.000	0.000	0.076	0.055
251.000	102010.000	1.000	0.000	0.073	0.055
252.000	103082.000	1.000	0.000	0.062	0.055
253.000	104154.000	1.000	0.000	0.064	0.055
254.000	105226.000	1.000	0.000	0.115	0.055
255.000	106297.000	1.000	0.000	0.146	0.055
256.000	107369.000	1.000	0.000	0.181	0.055
257.000	108441.000	1.000	0.000	0.214	0.055
258.000	109513.000	1.000	0.000	0.240	0.055
259.000	110585.000	1.000	0.000	0.241	0.055
260.000	111657.000	1.000	0.000	0.219	0.055
261.000	112729.000	1.000	0.000	0.183	0.055
262.000	113801.000	1.000	0.000	0.131	0.055
263.000	114873.000	1.000	0.000	0.095	0.055
264.000	115945.000	1.000	0.000	0.073	0.055
265.000	117017.000	1.000	0.000	0.071	0.055
266.000	118088.000	1.000	0.000	0.070	0.055
267.000	119160.000	1.000	0.000	0.068	0.055
268.000	120232.000	1.000	0.000	0.076	0.055
269.000	121304.000	1.000	0.000	0.116	0.055
270.000	122376.000	1.000	0.000	0.169	0.055
271.000	123448.000	1.000	0.000	0.201	0.055
272.000	124520.000	1.000	0.000	0.215	0.055
273.000	125592.000	1.000	0.000	0.228	0.055
274.000	126664.000	1.000	0.000	0.237	0.055
275.000	127736.000	1.000	0.000	0.210	0.055
276.000	128807.000	1.000	0.000	0.170	0.055
277.000	129879.000	1.000	0.000	0.135	0.055
278.000	130951.000	1.000	0.000	0.095	0.055
279.000	132023.000	1.000	0.000	0.079	0.055
280.000	133095.000	1.000	0.000	0.070	0.055
281.000	134167.000	1.000	0.000	0.070	0.055
282.000	135239.000	1.000	0.000	0.062	0.055
283.000	136311.000	1.000	0.000	0.072	0.055
284.000	137383.000	1.000	0.000	0.111	0.055
285.000	138455.000	1.000	0.000	0.159	0.055
286.000	139527.000	1.000	0.000	0.208	0.055
287.000	140598.000	1.000	0.000	0.221	0.055
288.000	141670.000	1.000	0.000	0.239	0.055
289.000	142742.000	1.000	0.000	0.232	0.055
290.000	143814.000	1.000	0.000	0.217	0.055
291.000	144886.000	1.000	0.000	0.181	0.055
292.000	145958.000	1.000	0.000	0.123	0.055
293.000	147030.000	1.000	0.000	0.084	0.055
294.000	148102.000	1.000	0.000	0.070	0.055
295.000	149174.000	1.000	0.000	0.071	0.055
296.000	150246.000	1.000	0.000	0.067	0.055
297.000	151318.000	1.000	0.000	0.065	0.055
298.000	152389.000	1.000	0.000	0.078	0.055
299.000	152657.000	1.000	0.000	0.083	0.055
300.000	151586.000	1.000	0.000	0.063	0.055
301.000	150514.000	1.000	0.000	0.060	0.055
302.000	149442.000	1.000	0.000	0.065	0.055
303.000	148370.000	1.000	0.000	0.069	0.055
304.000	147298.000	1.000	0.000	0.089	0.055
305.000	146226.000	1.000	0.000	0.113	0.055
306.000	145154.000	1.000	0.000	0.147	0.055
307.000	144082.000	1.000	0.000	0.194	0.055
308.000	143010.000	1.000	0.000	0.213	0.055
309.000	141938.000	1.000	0.000	0.231	0.055
310.000	140866.000	1.000	0.000	0.232	0.055
311.000	139795.000	1.000	0.000	0.201	0.055
312.000	138723.000	1.000	0.000	0.166	0.055
313.000	137651.000	1.000	0.000	0.115	0.055
314.000	136579.000	1.000	0.000	0.089	0.055
315.000	135507.000	1.000	0.000	0.068	0.055
316.000	134435.000	1.000	0.000	0.068	0.055
