# Title: Diode Laser Delay Scan w/ Norm, 5.0 dB on Var Attn, 0 V applied, 35 dB on PM (1.4), n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan w/ Norm, 5.0 dB on Var Attn, 0 V applied, 35 dB on PM (1.4), n=27 looking for 2x MWF modulation.
# Type:	Delay w/ Norm
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	35 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
177.000	70657.000	0.005	0.077	0.136
178.000	69585.000	0.005	0.083	0.130
179.000	68513.000	0.005	0.101	0.135
180.000	67441.000	0.005	0.098	0.136
181.000	66369.000	0.005	0.110	0.138
182.000	65297.000	0.005	0.103	0.129
183.000	64225.000	0.005	0.092	0.125
184.000	63153.000	0.005	0.089	0.133
185.000	62081.000	0.005	0.089	0.134
186.000	61009.000	0.005	0.080	0.132
187.000	59937.000	0.005	0.086	0.120
188.000	58866.000	0.005	0.084	0.135
189.000	57794.000	0.005	0.089	0.128
190.000	56722.000	0.005	0.101	0.125
191.000	55650.000	0.005	0.097	0.121
192.000	54578.000	0.005	0.077	0.130
193.000	53506.000	0.005	0.086	0.154
194.000	52434.000	0.005	0.095	0.139
195.000	51362.000	0.005	0.110	0.132
196.000	50290.000	0.005	0.094	0.132
197.000	49218.000	0.005	0.097	0.137
198.000	48147.000	0.005	0.087	0.142
199.000	47075.000	0.005	0.085	0.126
200.000	47343.000	0.005	0.089	0.125
201.000	48414.000	0.005	0.086	0.134
202.000	49486.000	0.005	0.115	0.144
203.000	50558.000	0.005	0.110	0.131
204.000	51630.000	0.005	0.105	0.142
205.000	52702.000	0.005	0.097	0.135
206.000	53774.000	0.005	0.077	0.134
207.000	54846.000	0.005	0.089	0.138
208.000	55918.000	0.005	0.097	0.132
209.000	56990.000	0.005	0.100	0.142
210.000	58062.000	0.005	0.105	0.132
211.000	59134.000	0.005	0.098	0.134
212.000	60205.000	0.005	0.096	0.129
213.000	61277.000	0.005	0.094	0.150
214.000	62349.000	0.005	0.099	0.130
215.000	63421.000	0.005	0.072	0.133
216.000	64493.000	0.005	0.101	0.133
217.000	65565.000	0.005	0.101	0.135
218.000	66637.000	0.005	0.110	0.143
219.000	67709.000	0.005	0.106	0.143
220.000	68781.000	0.005	0.092	0.149
221.000	69853.000	0.005	0.088	0.140
222.000	70925.000	0.005	0.092	0.144
223.000	71996.000	0.005	0.092	0.138
224.000	73068.000	0.005	0.104	0.158
225.000	74140.000	0.005	0.114	0.147
226.000	75212.000	0.005	0.103	0.135
227.000	76284.000	0.005	0.090	0.126
228.000	77356.000	0.005	0.095	0.143
229.000	78428.000	0.005	0.091	0.134
230.000	79500.000	0.005	0.089	0.132
231.000	80572.000	0.005	0.100	0.124
232.000	81644.000	0.005	0.097	0.121
233.000	82716.000	0.005	0.102	0.130
234.000	83787.000	0.005	0.110	0.141
235.000	84859.000	0.005	0.095	0.129
236.000	85931.000	0.005	0.087	0.116
237.000	87003.000	0.005	0.095	0.134
238.000	88075.000	0.005	0.096	0.148
239.000	89147.000	0.005	0.107	0.138
240.000	90219.000	0.005	0.099	0.132
241.000	91291.000	0.005	0.098	0.129
242.000	92363.000	0.005	0.095	0.134
243.000	93435.000	0.005	0.086	0.143
244.000	94506.000	0.005	0.093	0.148
245.000	95578.000	0.005	0.094	0.129
246.000	96650.000	0.005	0.097	0.143
247.000	97722.000	0.005	0.100	0.137
248.000	98794.000	0.005	0.101	0.127
249.000	99866.000	0.005	0.103	0.144
250.000	100938.000	0.005	0.087	0.143
251.000	102010.000	0.005	0.079	0.138
252.000	103082.000	0.005	0.092	0.135
253.000	104154.000	0.005	0.102	0.143
254.000	105226.000	0.005	0.114	0.142
255.000	106297.000	0.005	0.106	0.128
256.000	107369.000	0.005	0.092	0.114
257.000	108441.000	0.005	0.089	0.132
258.000	109513.000	0.005	0.087	0.134
259.000	110585.000	0.005	0.086	0.119
260.000	111657.000	0.005	0.091	0.131
261.000	112729.000	0.005	0.093	0.127
262.000	113801.000	0.005	0.104	0.131
263.000	114873.000	0.005	0.103	0.133
264.000	115945.000	0.005	0.086	0.132
265.000	117017.000	0.005	0.087	0.133
266.000	118088.000	0.005	0.077	0.119
267.000	119160.000	0.005	0.077	0.135
268.000	120232.000	0.005	0.101	0.124
269.000	121304.000	0.005	0.108	0.144
270.000	122376.000	0.005	0.090	0.144
271.000	123448.000	0.005	0.099	0.124
272.000	124520.000	0.005	0.088	0.141
273.000	125592.000	0.005	0.093	0.117
274.000	126664.000	0.005	0.096	0.121
275.000	127736.000	0.005	0.083	0.124
276.000	128807.000	0.005	0.089	0.126
277.000	129879.000	0.005	0.102	0.142
278.000	130951.000	0.005	0.099	0.133
279.000	132023.000	0.005	0.088	0.135
280.000	133095.000	0.005	0.078	0.127
281.000	134167.000	0.005	0.088	0.128
282.000	135239.000	0.005	0.086	0.124
283.000	136311.000	0.005	0.099	0.147
284.000	137383.000	0.005	0.099	0.138
285.000	138455.000	0.005	0.115	0.130
286.000	139527.000	0.005	0.103	0.136
287.000	140598.000	0.005	0.093	0.127
288.000	141670.000	0.005	0.089	0.124
289.000	142742.000	0.005	0.086	0.149
290.000	143814.000	0.005	0.087	0.125
291.000	144886.000	0.005	0.095	0.129
292.000	145958.000	0.005	0.108	0.128
293.000	147030.000	0.005	0.104	0.149
294.000	148102.000	0.005	0.100	0.137
295.000	149174.000	0.005	0.078	0.124
296.000	150246.000	0.005	0.100	0.122
297.000	151318.000	0.005	0.097	0.128
298.000	152389.000	0.005	0.102	0.145
299.000	152657.000	0.005	0.100	0.143
300.000	151586.000	0.005	0.084	0.121
301.000	150514.000	0.005	0.082	0.115
302.000	149442.000	0.005	0.097	0.120
303.000	148370.000	0.005	0.084	0.132
304.000	147298.000	0.005	0.097	0.134
305.000	146226.000	0.005	0.107	0.131
306.000	145154.000	0.005	0.096	0.129
307.000	144082.000	0.005	0.084	0.118
308.000	143010.000	0.005	0.090	0.124
309.000	141938.000	0.005	0.079	0.114
310.000	140866.000	0.005	0.086	0.127
311.000	139795.000	0.005	0.082	0.108
312.000	138723.000	0.005	0.078	0.120
313.000	137651.000	0.005	0.099	0.131
314.000	136579.000	0.005	0.090	0.123
315.000	135507.000	0.005	0.086	0.128
316.000	134435.000	0.005	0.074	0.116
317.000	133363.000	0.005	0.084	0.129
318.000	132291.000	0.005	0.091	0.119
319.000	131219.000	0.005	0.100	0.117
320.000	130147.000	0.005	0.109	0.136
321.000	129075.000	0.005	0.097	0.115
322.000	128004.000	0.005	0.081	0.118
323.000	126932.000	0.005	0.089	0.123
324.000	125860.000	0.005	0.080	0.122
325.000	124788.000	0.005	0.089	0.122
326.000	123716.000	0.005	0.083	0.129
327.000	122644.000	0.005	0.092	0.134
328.000	121572.000	0.005	0.089	0.144
329.000	120500.000	0.005	0.089	0.122
330.000	119428.000	0.005	0.071	0.124
331.000	118356.000	0.005	0.085	0.114
332.000	117284.000	0.005	0.082	0.132
333.000	116213.000	0.005	0.082	0.131
334.000	115141.000	0.005	0.092	0.130
335.000	114069.000	0.005	0.099	0.112
336.000	112997.000	0.005	0.091	0.115
337.000	111925.000	0.005	0.089	0.126
338.000	110853.000	0.005	0.085	0.128
339.000	109781.000	0.005	0.076	0.133
340.000	108709.000	0.005	0.082	0.123
341.000	107637.000	0.005	0.077	0.112
342.000	106565.000	0.005	0.098	0.118
343.000	105494.000	0.005	0.086	0.129
344.000	104422.000	0.005	0.084	0.118
345.000	103350.000	0.005	0.088	0.106
346.000	102278.000	0.005	0.079	0.123
347.000	101206.000	0.005	0.078	0.110
348.000	100134.000	0.005	0.094	0.125
349.000	99062.000	0.005	0.081	0.120
350.000	97990.000	0.005	0.091	0.112
351.000	96918.000	0.005	0.077	0.120
352.000	95846.000	0.005	0.074	0.116
353.000	94774.000	0.005	0.087	0.120
354.000	93703.000	0.005	0.082	0.116
355.000	92631.000	0.005	0.074	0.112
356.000	91559.000	0.005	0.083	0.106
357.000	90487.000	0.005	0.086	0.123
358.000	89415.000	0.005	0.096	0.118
359.000	88343.000	0.005	0.081	0.115
360.000	87271.000	0.005	0.080	0.114
361.000	86199.000	0.005	0.071	0.118
362.000	85127.000	0.005	0.083	0.120
363.000	84055.000	0.005	0.079	0.109
364.000	82983.000	0.005	0.084	0.126
365.000	81912.000	0.005	0.104	0.108
366.000	80840.000	0.005	0.079	0.116
367.000	79768.000	0.005	0.084	0.108
368.000	78696.000	0.005	0.072	0.117
369.000	77624.000	0.005	0.074	0.114
370.000	76552.000	0.005	0.080	0.108
371.000	75480.000	0.005	0.090	0.100
372.000	74408.000	0.005	0.092	0.110
373.000	73336.000	0.005	0.086	0.106
374.000	72264.000	0.005	0.082	0.101
375.000	71193.000	0.005	0.073	0.107
376.000	70121.000	0.005	0.081	0.120
377.000	69049.000	0.005	0.064	0.107
378.000	67977.000	0.005	0.087	0.119
379.000	66905.000	0.005	0.093	0.117
380.000	65833.000	0.005	0.098	0.111
381.000	64761.000	0.005	0.075	0.129
382.000	63689.000	0.005	0.083	0.119
383.000	62617.000	0.005	0.075	0.101
384.000	61545.000	0.005	0.073	0.108
385.000	60473.000	0.005	0.069	0.115
386.000	59402.000	0.005	0.081	0.126
387.000	58330.000	0.005	0.094	0.124
388.000	57258.000	0.005	0.094	0.114
389.000	56186.000	0.005	0.091	0.118
390.000	55114.000	0.005	0.084	0.113
391.000	54042.000	0.005	0.078	0.106
392.000	52970.000	0.005	0.079	0.114
393.000	51898.000	0.005	0.085	0.126
394.000	50826.000	0.005	0.082	0.120
395.000	49754.000	0.005	0.090	0.112
396.000	48682.000	0.005	0.086	0.133
397.000	47611.000	0.005	0.085	0.129
