# 16 dB MW, -30 GHz DIL?
i	f	s
444.000	56.780	-0.030
445.000	57.480	-0.031
446.000	57.780	-0.030
447.000	58.180	-0.027
448.000	58.680	-0.022
449.000	58.980	-0.023
450.000	59.280	-0.028
451.000	59.780	-0.026
452.000	60.080	-0.024
453.000	60.280	-0.025
454.000	60.880	-0.016
455.000	62.180	-0.028
456.000	62.280	-0.023
457.000	62.480	-0.026
458.000	62.680	-0.022
459.000	62.780	-0.020
460.000	62.880	-0.023
461.000	63.280	-0.028
462.000	63.680	-0.018
463.000	63.880	-0.028
464.000	64.480	-0.020
465.000	64.880	-0.025
466.000	65.080	-0.028
467.000	65.380	-0.029
468.000	65.680	-0.026
469.000	65.880	-0.019
470.000	66.380	-0.029
471.000	66.580	-0.025
472.000	66.880	-0.024
473.000	67.480	-0.028
474.000	67.680	-0.026
475.000	68.080	-0.023
476.000	68.580	-0.025
477.000	68.680	-0.026
478.000	68.980	-0.028
479.000	69.480	-0.026
480.000	69.780	-0.031
481.000	70.280	-0.025
482.000	70.780	-0.032
483.000	70.980	-0.027
484.000	71.280	-0.030
485.000	71.780	-0.032
486.000	71.880	-0.030
487.000	72.480	-0.034
488.000	72.980	-0.027
489.000	73.080	-0.031
490.000	73.680	-0.028
491.000	73.980	-0.027
492.000	74.480	-0.027
493.000	74.580	-0.027
494.000	74.880	-0.029
495.000	75.280	-0.026
496.000	75.380	-0.024
497.000	76.180	-0.028
498.000	76.480	-0.024
499.000	76.880	-0.029
500.000	77.480	-0.030
501.000	77.680	-0.030
502.000	78.080	-0.025
503.000	78.480	-0.026
504.000	79.080	-0.027
505.000	79.380	-0.022
506.000	79.980	-0.025
507.000	80.280	-0.032
508.000	80.680	-0.028
509.000	80.980	-0.028
510.000	81.480	-0.030
511.000	81.680	-0.028
512.000	82.080	-0.025
513.000	82.480	-0.026
514.000	82.980	-0.024
515.000	83.280	-0.022
516.000	83.480	-0.025
