# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 14 dB
i	f	s
100.000	-24.682	0.066
101.000	-24.325	0.067
102.000	-23.969	0.064
103.000	-23.612	0.065
104.000	-23.255	0.066
105.000	-22.898	0.068
106.000	-22.541	0.063
107.000	-22.184	0.071
108.000	-21.828	0.071
109.000	-21.471	0.071
110.000	-21.114	0.069
111.000	-20.757	0.078
112.000	-20.400	0.074
113.000	-20.044	0.072
114.000	-19.687	0.070
115.000	-19.330	0.066
116.000	-18.973	0.075
117.000	-18.616	0.074
118.000	-18.260	0.075
119.000	-17.903	0.077
120.000	-17.546	0.080
121.000	-17.189	0.084
122.000	-16.832	0.082
123.000	-16.475	0.076
124.000	-16.119	0.070
125.000	-15.762	0.071
126.000	-15.405	0.071
127.000	-15.048	0.072
128.000	-14.691	0.072
129.000	-14.335	0.073
130.000	-13.978	0.079
131.000	-13.621	0.075
132.000	-13.264	0.075
133.000	-12.907	0.072
134.000	-12.551	0.082
135.000	-12.194	0.081
136.000	-11.837	0.081
137.000	-11.480	0.091
138.000	-11.123	0.082
139.000	-10.767	0.076
140.000	-10.410	0.075
141.000	-10.053	0.084
142.000	-9.696	0.075
143.000	-9.339	0.070
144.000	-8.982	0.071
145.000	-8.626	0.065
146.000	-8.269	0.077
147.000	-7.912	0.073
148.000	-7.555	0.078
149.000	-7.198	0.076
150.000	-6.842	0.075
151.000	-6.485	0.073
152.000	-6.128	0.079
153.000	-5.771	0.078
154.000	-5.414	0.074
155.000	-5.058	0.080
156.000	-4.701	0.077
157.000	-4.344	0.082
158.000	-3.987	0.074
159.000	-3.630	0.070
160.000	-3.273	0.073
161.000	-2.917	0.069
162.000	-2.560	0.071
163.000	-2.203	0.069
164.000	-1.846	0.065
165.000	-1.489	0.064
166.000	-1.133	0.065
167.000	-0.776	0.066
168.000	-0.419	0.062
169.000	-0.062	0.066
170.000	0.295	0.059
171.000	0.651	0.062
172.000	1.008	0.057
173.000	1.365	0.058
174.000	1.722	0.054
175.000	2.079	0.056
176.000	2.435	0.056
177.000	2.792	0.050
178.000	3.149	0.052
179.000	3.506	0.052
180.000	3.863	0.050
181.000	4.220	0.049
182.000	4.576	0.049
183.000	4.933	0.050
184.000	5.290	0.051
185.000	5.647	0.052
186.000	6.004	0.052
187.000	6.360	0.051
188.000	6.717	0.051
